timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 16:00:00-04:00,9.61,,
2026-05-07 16:00:00-04:00,11.57,11.69,1.06
2026-02-04 16:00:00-05:00,9.27,9.34,0.71
2025-11-05 16:00:00-05:00,9.05,9.86,8.94
2025-08-06 16:00:00-04:00,8.15,8.26,1.39
2025-05-08 16:00:00-04:00,9.83,10.12,2.98
2025-02-05 16:00:00-05:00,7.99,8.03,0.47
2024-11-06 16:00:00-05:00,6.87,7.07,2.9
2024-08-07 12:00:00-04:00,7.21,7.88,9.3
2024-05-07 16:00:00-04:00,6.36,6.18,-2.77
2024-02-07 16:00:00-05:00,7.05,7.74,9.79
2023-11-01 16:00:00-04:00,6.15,6.23,1.33
2023-08-02 16:00:00-04:00,5.87,7.27,23.89
2023-05-08 16:00:00-04:00,7.12,7.19,0.93
2023-02-01 16:00:00-05:00,6.36,6.9,8.45
2022-11-01 16:00:00-04:00,6.1,6.06,-0.65
2022-08-03 16:00:00-04:00,5.3,5.83,10.08
2022-05-05 16:00:00-04:00,6.04,5.83,-3.55
2022-02-02 16:00:00-05:00,5.42,6.15,13.55
2021-11-01 16:00:00-04:00,4.66,6.15,32.02
2021-08-03 22:00:00-04:00,4.14,5.56,34.3
2021-05-06 16:00:00-04:00,5.05,5.05,0.06
2021-02-02 07:00:00-05:00,4.13,4.6,11.38
2020-11-03 07:00:00-05:00,3.88,4.8,23.69
2020-08-03 07:00:00-04:00,2.39,2.77,15.96
