timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,0.61,,
2026-04-29 16:00:00-04:00,0.51,0.49,-4.38
2026-02-05 16:00:00-05:00,0.55,1.6,189.62
2025-10-29 16:00:00-04:00,0.3,0.24,-19.85
2025-07-30 16:00:00-04:00,0.55,0.79,44.03
2025-04-30 16:00:00-04:00,0.45,0.69,54.32
2025-02-12 16:00:00-05:00,0.34,0.45,32.96
2024-10-30 16:00:00-04:00,0.61,0.54,-11.03
2024-07-31 16:00:00-04:00,0.59,0.86,46.29
2024-05-01 16:00:00-04:00,0.58,0.74,28.57
2024-02-13 16:00:00-05:00,0.71,1.06,49.72
2023-11-08 16:00:00-05:00,0.49,0.64,29.92
2023-08-02 16:00:00-04:00,0.52,0.59,13.94
2023-05-01 16:00:00-04:00,0.16,0.44,169.54
2023-02-08 16:00:00-05:00,-1.57,-1.53,2.25
2022-11-02 16:00:00-04:00,0.13,-1.39,-1153.35
2022-08-03 16:00:00-04:00,0.33,0.03,-90.89
2022-05-02 16:00:00-04:00,-0.05,0.01,122.08
2022-02-09 16:00:00-05:00,0.02,0.12,663.84
2021-11-03 16:00:00-04:00,-0.03,0.03,192.11
2021-08-04 16:00:00-04:00,-0.37,-0.13,64.93
2021-04-28 16:00:00-04:00,-0.87,-0.68,21.59
2021-02-10 16:00:00-05:00,-0.94,-0.9,4.11
2020-10-29 16:00:00-04:00,-1.02,-1.08,-5.56
2020-07-30 16:00:00-04:00,-1.7,-1.52,10.59
