timestamp,eps_estimate,eps_reported,surprise_pct
2026-10-06 08:00:00-04:00,0.76,,
2026-06-25 06:00:00-04:00,0.7,0.8,14.8
2026-03-31 06:00:00-04:00,0.6,0.66,10.66
2026-01-22 06:00:00-05:00,0.88,0.86,-1.83
2025-10-07 06:00:00-04:00,0.82,0.85,4.15
2025-06-26 06:00:00-04:00,0.65,0.69,5.7
2025-03-25 06:00:00-04:00,0.64,0.6,-6.85
2025-01-23 06:00:00-05:00,0.77,0.8,4.3
2024-10-01 06:00:00-04:00,0.67,0.83,23.25
2024-06-27 06:00:00-04:00,0.59,0.69,17.3
2024-03-26 06:00:00-04:00,0.57,0.63,9.87
2024-01-25 06:00:00-05:00,0.79,0.85,7.11
2023-10-03 06:00:00-04:00,0.65,0.65,-0.45
2023-06-29 06:00:00-04:00,0.57,0.6,4.76
2023-03-28 06:00:00-04:00,0.5,0.59,17.94
2023-01-26 06:00:00-05:00,0.87,0.73,-15.73
2022-10-06 06:00:00-04:00,0.65,0.69,6.34
2022-06-29 06:00:00-04:00,0.65,0.48,-26.12
2022-03-29 06:00:00-04:00,0.62,0.63,1.89
2022-01-27 06:00:00-05:00,0.8,0.84,4.99
2021-09-30 06:00:00-04:00,0.72,0.8,10.94
2021-07-01 06:00:00-04:00,0.62,0.69,10.44
2021-03-30 06:00:00-04:00,0.58,0.72,23.15
2021-01-28 06:00:00-05:00,0.82,0.79,-3.76
2020-09-29 06:00:00-04:00,0.76,0.77,0.51
