timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 08:00:00-04:00,0.18,,
2026-05-11 10:00:00-04:00,0.22,0.05,-77.32
2026-02-24 16:00:00-05:00,0.44,0.22,-50.5
2025-11-04 17:00:00-05:00,0.95,1.04,9.4
2025-08-05 17:00:00-04:00,0.72,0.51,-28.86
2025-05-06 16:00:00-04:00,0.45,0.49,10.06
2025-02-27 16:00:00-05:00,0.57,0.45,-21.07
2024-11-12 06:00:00-05:00,0.52,0.34,-34.49
2024-08-06 16:00:00-04:00,0.66,0.54,-18.42
2024-05-01 16:00:00-04:00,0.66,0.65,-2.11
2024-02-21 16:00:00-05:00,0.86,0.71,-17.11
2023-11-07 16:00:00-05:00,0.75,0.68,-9.92
2023-08-01 16:00:00-04:00,1.1,1.04,-5.79
2023-05-03 16:00:00-04:00,1.25,1.14,-9.03
2023-02-22 16:00:00-05:00,2.2,1.74,-20.97
2022-11-07 16:00:00-05:00,3.4,3.22,-5.24
2022-08-01 16:00:00-04:00,4.0,3.64,-8.93
2022-05-02 16:00:00-04:00,2.42,2.41,-0.25
2022-02-22 16:00:00-05:00,1.98,1.95,-1.29
2021-11-01 16:00:00-04:00,1.54,1.35,-12.51
2021-08-03 08:00:00-04:00,1.01,1.17,15.46
2021-05-03 12:00:00-04:00,0.53,0.57,7.16
2021-02-17 16:00:00-05:00,0.21,0.57,176.16
2020-11-03 02:00:00-05:00,0.17,0.23,35.01
2020-08-04 14:00:00-04:00,0.02,0.11,419.6
