timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 16:00:00-04:00,5.86,,
2026-04-30 16:00:00-04:00,4.9,5.1,4.05
2026-02-05 16:00:00-05:00,4.74,4.79,1.13
2025-10-30 16:00:00-04:00,4.64,4.73,2.04
2025-07-31 16:00:00-04:00,4.12,4.21,2.25
2025-05-01 16:00:00-04:00,4.0,4.04,0.89
2025-02-06 16:00:00-05:00,3.98,4.09,2.86
2024-10-30 16:00:00-04:00,3.97,4.06,2.27
2024-08-01 16:00:00-04:00,3.07,3.17,3.34
2024-05-01 16:00:00-04:00,2.64,2.81,6.41
2024-02-07 16:00:00-05:00,2.85,2.88,0.99
2023-10-30 16:00:00-04:00,3.06,3.08,0.67
2023-07-31 16:00:00-04:00,2.81,2.82,0.43
2023-05-04 16:00:00-04:00,2.99,3.0,0.36
2023-02-08 16:00:00-05:00,3.13,3.17,1.13
2022-10-27 16:00:00-04:00,3.49,3.53,1.24
2022-08-01 16:00:00-04:00,2.94,3.25,10.61
2022-05-02 16:00:00-04:00,2.26,2.45,8.58
2022-02-10 16:00:00-05:00,1.88,2.12,12.94
2021-10-28 16:00:00-04:00,2.0,2.06,3.09
2021-07-27 16:00:00-04:00,1.68,1.81,7.44
2021-05-04 16:00:00-04:00,1.34,1.46,8.78
2021-02-04 16:00:00-05:00,1.24,1.31,5.26
2020-10-29 16:00:00-04:00,1.68,1.69,0.65
2020-07-28 16:00:00-04:00,1.0,1.08,8.3
