timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 08:00:00-04:00,-0.24,,
2026-04-30 06:00:00-04:00,-1.47,-1.28,13.15
2026-02-03 06:00:00-05:00,2.01,2.04,1.47
2025-10-30 06:00:00-04:00,2.35,2.58,9.85
2025-07-29 06:00:00-04:00,2.03,2.13,5.04
2025-04-24 06:00:00-04:00,2.14,2.22,3.98
2025-02-04 06:00:00-05:00,1.67,1.72,3.3
2024-10-31 06:00:00-04:00,1.57,1.57,0.03
2024-07-30 06:00:00-04:00,2.14,2.28,6.31
2024-04-25 06:00:00-04:00,1.92,2.07,7.74
2024-02-01 06:00:00-05:00,-0.11,0.03,127.48
2023-10-26 06:00:00-04:00,1.95,2.13,9.51
2023-08-01 06:00:00-04:00,-2.18,-2.06,5.41
2023-04-27 06:00:00-04:00,1.34,1.4,4.76
2023-02-02 06:00:00-05:00,1.54,1.62,5.36
2022-10-27 06:00:00-04:00,1.71,1.85,8.28
2022-07-28 06:00:00-04:00,1.71,1.87,9.57
2022-04-28 06:00:00-04:00,1.83,2.14,17.11
2022-02-03 06:00:00-05:00,1.52,1.8,18.08
2021-10-28 06:00:00-04:00,1.55,1.75,12.58
2021-07-29 06:00:00-04:00,1.35,1.31,-2.85
2021-04-29 06:00:00-04:00,1.61,1.4,-13.23
2021-02-04 06:00:00-05:00,1.39,1.32,-4.9
2020-10-27 06:00:00-04:00,1.43,1.74,21.32
2020-07-31 06:00:00-04:00,1.09,1.37,25.84
