timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-31 08:00:00-04:00,-2.09,,
2026-04-30 20:00:00-04:00,-3.96,-1.18,70.18
2026-02-13 07:00:00-05:00,-2.64,-2.11,20.18
2025-11-06 07:00:00-05:00,-2.16,-0.51,76.42
2025-08-01 07:00:00-04:00,-3.0,-2.13,28.96
2025-05-01 06:00:00-04:00,-3.11,-2.52,18.89
2025-02-14 06:00:00-05:00,-2.73,-2.91,-6.65
2024-11-07 06:00:00-05:00,-1.94,0.03,101.55
2024-08-01 06:00:00-04:00,-3.35,-3.33,0.65
2024-05-02 06:00:00-04:00,-3.57,-3.07,14.06
2024-02-22 06:00:00-05:00,-0.99,0.55,155.57
2023-11-02 06:00:00-04:00,-2.05,-9.53,-364.44
2023-08-03 06:00:00-04:00,-4.12,-3.62,12.16
2023-05-04 16:00:00-04:00,-1.73,0.19,111.0
2023-02-23 07:00:00-05:00,4.6,3.61,-21.5
2022-11-03 07:00:00-04:00,3.11,2.53,-18.61
2022-08-03 07:00:00-04:00,4.49,5.24,16.64
2022-05-04 06:00:00-04:00,5.62,8.58,52.59
2022-02-24 06:00:00-05:00,9.81,11.29,15.11
2021-11-04 07:00:00-04:00,9.42,7.7,-18.26
2021-08-05 06:00:00-04:00,5.86,6.46,10.31
2021-05-06 07:00:00-04:00,2.47,2.84,15.12
2021-02-25 07:00:00-05:00,-0.36,-0.69,-89.56
2020-10-29 07:00:00-04:00,-0.37,-0.59,-60.42
2020-08-05 07:00:00-04:00,-0.36,-0.31,14.6
