timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-21 08:00:00-04:00,4.87,,
2026-04-21 06:00:00-04:00,4.46,4.55,2.13
2026-01-28 06:00:00-05:00,4.59,4.66,1.56
2025-10-28 06:00:00-04:00,4.37,4.47,2.33
2025-07-22 06:00:00-04:00,4.15,4.17,0.57
2025-04-22 06:00:00-04:00,3.9,4.0,2.46
2025-01-29 06:00:00-05:00,3.95,4.18,5.79
2024-10-29 06:00:00-04:00,3.77,3.86,2.32
2024-07-23 06:00:00-04:00,3.55,3.64,2.59
2024-04-23 06:00:00-04:00,3.47,3.52,1.41
2024-01-30 06:00:00-05:00,3.29,3.68,11.93
2023-10-31 06:00:00-04:00,3.31,3.45,4.1
2023-07-25 06:00:00-04:00,3.11,3.26,4.86
2023-04-25 06:00:00-04:00,3.0,3.14,4.66
2023-01-31 06:00:00-05:00,2.76,2.84,2.89
2022-10-25 06:00:00-04:00,2.71,2.85,4.99
2022-07-26 06:00:00-04:00,2.67,2.78,4.0
2022-04-26 06:00:00-04:00,2.79,2.98,6.94
2022-01-27 06:00:00-05:00,2.49,2.51,0.68
2021-10-26 06:00:00-04:00,2.43,2.53,4.29
2021-07-27 06:00:00-04:00,2.31,2.45,5.89
2021-04-27 06:00:00-04:00,2.26,2.46,9.09
2021-01-28 06:00:00-05:00,1.94,1.96,0.9
2020-10-27 06:00:00-04:00,1.82,2.2,21.05
2020-07-28 06:00:00-04:00,1.68,1.77,5.44
