timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 16:00:00-04:00,10.8,,
2026-05-07 16:00:00-04:00,8.71,8.91,2.33
2026-02-05 16:00:00-05:00,12.81,13.36,4.31
2025-11-06 16:00:00-05:00,10.66,11.15,4.64
2025-07-31 16:00:00-04:00,9.6,10.09,5.12
2025-05-01 16:00:00-04:00,7.88,8.19,3.87
2025-02-06 16:00:00-05:00,11.72,12.41,5.84
2024-11-07 16:00:00-05:00,10.01,10.21,1.95
2024-08-01 16:00:00-04:00,9.05,9.65,6.68
2024-05-09 16:00:00-04:00,7.65,8.89,16.14
2024-02-08 17:00:00-05:00,9.54,9.4,-1.44
2023-11-09 16:00:00-05:00,9.87,9.8,-0.67
2023-07-27 16:00:00-04:00,9.98,10.19,2.15
2023-05-04 17:00:00-04:00,8.61,8.69,0.94
2023-02-09 17:00:00-05:00,11.68,12.1,3.57
2022-11-03 16:00:00-04:00,9.83,10.18,3.53
2022-07-28 17:00:00-04:00,8.77,9.39,7.04
2022-05-05 16:00:00-04:00,7.28,7.87,8.06
2022-02-10 16:00:00-05:00,10.11,10.53,4.2
2021-11-04 16:00:00-04:00,8.28,8.72,5.34
2021-07-29 16:00:00-04:00,7.62,8.1,6.28
2021-05-06 16:00:00-04:00,5.61,6.56,16.9
2021-02-04 16:00:00-05:00,8.76,9.26,5.75
2020-11-05 16:00:00-05:00,5.99,7.02,17.14
2020-07-30 16:00:00-04:00,4.22,5.29,25.38
