timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-19 16:00:00-04:00,3.06,,
2026-05-20 16:00:00-04:00,2.82,2.86,1.48
2026-02-18 16:00:00-05:00,2.37,2.37,-0.09
2025-12-10 16:00:00-05:00,2.93,3.03,3.42
2025-08-20 16:00:00-04:00,2.64,2.73,3.54
2025-05-28 16:00:00-04:00,2.36,2.42,2.6
2025-02-19 16:00:00-05:00,2.08,2.06,-0.89
2024-12-11 16:00:00-05:00,2.59,2.78,7.34
2024-08-21 16:00:00-04:00,2.34,2.41,3.12
2024-05-20 16:00:00-04:00,2.32,2.34,0.92
2024-02-21 16:00:00-05:00,2.09,2.21,6.0
2023-12-13 16:00:00-05:00,2.4,2.46,2.64
2023-08-21 16:00:00-04:00,2.32,2.35,1.36
2023-05-22 16:00:00-04:00,2.12,2.26,6.79
2023-02-20 16:00:00-05:00,1.97,1.95,-1.08
2022-12-14 16:00:00-05:00,2.33,2.44,4.68
2022-08-22 16:00:00-04:00,2.44,2.49,2.09
2022-05-23 16:00:00-04:00,2.29,2.43,6.27
2022-02-22 16:00:00-05:00,1.91,2.07,8.38
2021-12-15 16:00:00-05:00,2.1,1.88,-10.29
2021-08-30 16:00:00-04:00,2.08,2.42,16.28
2021-05-24 16:00:00-04:00,1.64,2.12,28.95
2021-02-22 16:00:00-05:00,1.06,1.32,24.79
2020-12-15 16:00:00-05:00,1.53,1.59,3.85
2020-08-19 16:00:00-04:00,1.34,1.42,5.62
