timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-16 16:00:00-04:00,0.79,,
2026-04-16 16:00:00-04:00,1.32,1.23,-6.93
2026-01-20 16:00:00-05:00,0.55,0.56,1.43
2025-10-21 16:00:00-04:00,0.7,0.59,-15.79
2025-07-17 16:00:00-04:00,0.71,0.72,1.95
2025-04-17 16:00:00-04:00,0.57,0.66,16.37
2025-01-21 16:00:00-05:00,0.42,0.43,1.78
2024-10-17 16:00:00-04:00,0.51,0.54,5.32
2024-07-18 16:00:00-04:00,0.48,0.49,2.47
2024-04-18 16:00:00-04:00,0.45,0.53,16.66
2024-01-23 16:00:00-05:00,0.22,0.21,-4.8
2023-10-18 16:00:00-04:00,0.35,0.37,6.74
2023-07-19 16:00:00-04:00,0.29,0.33,15.36
2023-04-18 16:00:00-04:00,0.29,0.29,0.46
2023-01-19 16:00:00-05:00,0.05,0.01,-75.18
2022-10-18 16:00:00-04:00,0.21,0.31,45.21
2022-07-19 16:00:00-04:00,0.29,0.32,8.75
2022-04-19 16:00:00-04:00,0.29,0.35,20.97
2022-01-20 16:00:00-05:00,0.08,0.13,61.49
2021-10-19 16:00:00-04:00,0.26,0.32,24.49
2021-07-20 16:00:00-04:00,0.32,0.3,-5.91
2021-04-20 16:00:00-04:00,0.3,0.38,25.48
2021-01-19 16:00:00-05:00,0.14,0.12,-15.07
2020-10-20 17:00:00-04:00,0.21,0.17,-18.71
2020-07-16 16:00:00-04:00,0.18,0.16,-13.13
