timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 08:00:00-04:00,0.23,,
2026-05-06 06:00:00-04:00,1.05,1.06,1.36
2026-02-11 06:00:00-05:00,0.5,0.51,2.94
2025-10-29 06:00:00-04:00,0.2,0.19,-3.21
2025-08-06 06:00:00-04:00,0.21,0.22,7.11
2025-05-07 06:00:00-04:00,0.9,0.98,8.74
2025-02-12 06:00:00-05:00,0.5,0.49,-2.3
2024-10-30 06:00:00-04:00,0.16,0.2,24.4
2024-08-07 06:00:00-04:00,0.17,0.21,26.67
2024-05-08 06:00:00-04:00,0.83,0.85,2.7
2024-02-21 06:00:00-05:00,0.53,0.53,0.95
2023-10-31 20:00:00-04:00,0.15,0.19,27.47
2023-08-02 06:00:00-04:00,0.11,0.11,4.04
2023-05-03 06:00:00-04:00,0.75,0.77,2.03
2023-02-22 06:00:00-05:00,0.47,0.5,6.57
2022-11-07 06:00:00-05:00,0.1,0.1,-4.31
2022-08-03 06:00:00-04:00,0.12,0.12,-0.37
2022-05-04 06:00:00-04:00,0.77,0.75,-2.18
2022-02-23 06:00:00-05:00,0.35,0.39,10.47
2021-11-03 06:00:00-04:00,0.1,0.11,14.69
2021-08-04 06:00:00-04:00,0.13,0.13,-0.95
2021-05-05 06:00:00-04:00,0.77,0.77,-0.55
2021-02-17 06:00:00-05:00,0.33,0.34,3.11
2020-11-02 06:00:00-05:00,0.03,0.09,173.64
2020-08-05 06:00:00-04:00,0.08,0.13,67.83
