timestamp,eps_estimate,eps_reported,surprise_pct
2026-09-29 16:00:00-04:00,0.45,,
2026-06-30 16:00:00-04:00,0.13,0.72,466.13
2026-03-31 16:00:00-04:00,0.28,0.35,24.31
2025-12-18 16:00:00-05:00,0.38,0.53,41.33
2025-09-30 16:00:00-04:00,0.27,0.49,81.32
2025-06-26 16:00:00-04:00,0.12,0.14,14.18
2025-03-20 16:00:00-04:00,0.29,0.54,85.52
2024-12-19 16:00:00-05:00,0.63,0.78,23.3
2024-10-01 16:00:00-04:00,0.52,0.7,34.9
2024-06-27 16:00:00-04:00,0.83,0.99,19.3
2024-03-21 16:00:00-04:00,0.76,0.98,29.73
2023-12-21 16:00:00-05:00,0.85,1.03,20.98
2023-09-28 16:00:00-04:00,0.76,0.94,24.06
2023-06-29 16:00:00-04:00,0.68,0.66,-2.29
2023-03-21 16:00:00-04:00,0.54,0.79,46.31
2022-12-20 16:00:00-05:00,0.66,0.85,29.23
2022-09-29 16:00:00-04:00,0.92,0.93,0.96
2022-06-27 16:00:00-04:00,0.81,0.9,10.99
2022-03-21 16:00:00-04:00,0.72,0.87,21.41
2021-12-20 16:00:00-05:00,0.63,0.83,31.97
2021-09-23 16:00:00-04:00,1.12,1.16,3.3
2021-06-24 16:00:00-04:00,0.51,0.93,83.69
2021-03-18 16:00:00-04:00,0.75,0.9,19.67
2020-12-18 16:00:00-05:00,0.62,0.78,25.29
2020-09-22 16:00:00-04:00,0.48,0.95,95.91
