timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-22 16:00:00-04:00,0.86,,
2026-04-22 16:00:00-04:00,0.97,0.97,0.39
2026-01-28 16:00:00-05:00,0.89,0.92,3.95
2025-10-29 16:00:00-04:00,0.85,0.96,13.0
2025-07-23 16:00:00-04:00,0.71,0.82,14.63
2025-04-23 16:00:00-04:00,0.77,0.81,5.36
2025-01-29 16:00:00-05:00,0.73,0.73,0.2
2024-10-23 16:00:00-04:00,0.69,0.74,7.78
2024-07-24 16:00:00-04:00,0.57,0.63,10.44
2024-04-24 16:00:00-04:00,0.63,0.68,8.87
2024-01-24 16:00:00-05:00,0.56,0.62,11.94
2023-10-25 16:00:00-04:00,0.51,0.58,14.55
2023-07-26 16:00:00-04:00,0.41,0.47,15.81
2023-04-26 16:00:00-04:00,0.41,0.47,16.36
2023-01-25 16:00:00-05:00,0.4,0.46,12.62
2022-10-26 16:00:00-04:00,0.37,0.39,6.14
2022-07-27 16:00:00-04:00,0.31,0.32,4.46
2022-04-27 16:00:00-04:00,0.34,0.35,2.03
2022-01-26 16:00:00-05:00,0.29,0.29,2.12
2021-10-27 16:00:00-04:00,0.28,0.31,11.55
2021-07-28 16:00:00-04:00,0.24,0.28,17.53
2021-04-28 16:00:00-04:00,0.27,0.3,12.85
2021-01-27 16:00:00-05:00,0.21,0.23,10.6
2020-10-28 16:00:00-04:00,0.21,0.24,17.41
2020-07-29 16:00:00-04:00,0.2,0.25,20.85
