timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 16:00:00-04:00,0.23,,
2026-05-07 16:00:00-04:00,0.2,0.21,5.46
2026-02-05 16:00:00-05:00,0.37,0.4,6.92
2025-11-06 16:00:00-05:00,0.19,0.22,16.76
2025-08-05 16:00:00-04:00,0.18,0.19,5.56
2025-05-08 16:00:00-04:00,0.13,0.17,27.5
2025-02-05 16:00:00-05:00,0.31,0.33,5.74
2024-11-07 16:00:00-05:00,0.15,0.21,40.0
2024-08-08 16:00:00-04:00,0.16,0.17,6.25
2024-05-08 16:00:00-04:00,0.13,0.11,-12.0
2024-02-07 16:00:00-05:00,0.21,0.26,23.81
2023-11-09 11:00:00-05:00,0.09,0.16,71.43
2023-08-10 16:00:00-04:00,0.07,0.14,100.0
2023-05-11 16:00:00-04:00,0.04,0.09,125.0
2023-02-09 16:00:00-05:00,0.18,0.14,-22.22
2022-11-08 16:00:00-05:00,0.13,0.12,-7.69
2022-08-08 16:00:00-04:00,0.08,0.37,344.02
2022-05-05 18:00:00-04:00,0.15,0.16,9.09
2022-02-03 16:00:00-05:00,0.3,0.44,45.06
2021-11-04 16:00:00-04:00,0.15,0.23,53.33
2021-08-05 16:00:00-04:00,0.06,0.16,184.04
2021-05-06 16:00:00-04:00,0.05,0.09,91.04
2021-02-04 16:00:00-05:00,0.09,0.34,271.91
2020-11-05 16:00:00-05:00,-0.02,0.08,512.37
2020-08-06 16:00:00-04:00,-0.09,-0.03,66.57
