timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-22 08:00:00-04:00,1.01,,
2026-04-22 06:00:00-04:00,0.9,0.89,-0.85
2026-01-28 06:00:00-05:00,1.03,1.03,-0.35
2025-10-29 06:00:00-04:00,1.0,1.05,4.73
2025-07-23 06:00:00-04:00,1.03,1.05,2.15
2025-04-23 06:00:00-04:00,0.91,0.92,1.1
2025-01-29 06:00:00-05:00,0.96,0.93,-2.79
2024-10-30 06:00:00-04:00,0.97,0.96,-0.98
2024-07-24 06:00:00-04:00,1.03,1.06,2.98
2024-04-24 06:00:00-04:00,0.86,0.88,1.8
2024-01-31 06:00:00-05:00,0.86,0.87,1.09
2023-10-25 06:00:00-04:00,0.88,0.95,8.21
2023-07-26 06:00:00-04:00,0.86,0.92,6.45
2023-04-26 06:00:00-04:00,0.75,0.8,6.09
2023-02-01 06:00:00-05:00,0.75,0.75,0.26
2022-10-26 06:00:00-04:00,0.78,0.8,2.04
2022-07-27 06:00:00-04:00,0.79,0.86,9.47
2022-04-25 06:00:00-04:00,0.74,0.77,4.05
2022-01-31 06:00:00-05:00,0.7,0.72,3.45
2021-10-25 06:00:00-04:00,0.73,0.77,4.96
2021-07-26 06:00:00-04:00,0.72,0.79,9.72
2021-04-26 06:00:00-04:00,0.63,0.72,14.29
2021-02-01 06:00:00-05:00,0.59,0.66,11.39
2020-10-26 06:00:00-04:00,0.56,0.69,22.94
2020-07-28 06:00:00-04:00,0.44,0.56,26.41
