timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 16:00:00-04:00,1.89,,
2026-05-05 16:00:00-04:00,0.59,1.06,80.35
2026-02-18 16:00:00-05:00,0.17,0.31,83.77
2025-11-10 16:00:00-05:00,0.52,0.64,22.73
2025-08-06 16:00:00-04:00,0.31,0.39,24.79
2025-05-07 16:00:00-04:00,0.76,0.87,14.0
2025-02-18 16:00:00-05:00,0.67,0.8,19.42
2024-11-12 16:00:00-05:00,0.75,1.0,33.24
2024-08-07 16:00:00-04:00,0.77,1.03,33.21
2024-05-07 16:00:00-04:00,0.57,0.63,11.08
2024-02-14 16:00:00-05:00,0.69,0.74,7.45
2023-11-07 16:00:00-05:00,0.86,1.18,36.6
2023-08-02 16:00:00-04:00,0.76,0.68,-10.96
2023-05-09 16:00:00-04:00,1.27,1.09,-14.39
2023-02-27 16:00:00-05:00,1.83,1.61,-11.88
2022-11-08 16:00:00-05:00,2.47,2.44,-1.23
2022-08-02 16:00:00-04:00,3.02,3.16,4.56
2022-05-10 16:00:00-04:00,2.03,2.12,4.41
2022-02-24 16:00:00-05:00,1.1,1.48,35.13
2021-11-04 16:00:00-04:00,0.66,0.87,32.39
2021-08-03 16:00:00-04:00,0.01,0.32,2306.02
2021-05-10 12:00:00-04:00,-0.33,-0.15,55.18
2021-02-22 16:00:00-05:00,-0.58,-0.78,-33.63
2020-11-09 16:00:00-05:00,-0.72,-0.84,-16.83
2020-08-10 16:00:00-04:00,-1.7,-1.76,-3.67
