timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 08:00:00-04:00,0.83,,
2026-05-05 07:00:00-04:00,1.43,1.55,8.48
2026-02-26 07:00:00-05:00,0.71,0.72,1.44
2025-11-03 07:00:00-05:00,1.01,1.13,11.57
2025-08-05 07:00:00-04:00,0.7,0.77,10.25
2025-04-30 07:00:00-04:00,1.43,1.43,-0.23
2025-02-25 07:00:00-05:00,0.83,0.84,1.47
2024-11-04 07:00:00-05:00,0.88,0.9,2.67
2024-07-30 07:00:00-04:00,0.62,0.63,1.04
2024-04-30 07:00:00-04:00,1.32,1.31,-0.68
2024-02-26 07:00:00-05:00,0.52,0.54,3.74
2023-10-31 07:00:00-04:00,0.75,0.85,13.0
2023-08-01 07:00:00-04:00,0.62,0.7,12.3
2023-05-02 07:00:00-04:00,1.25,1.39,11.59
2023-02-21 07:00:00-05:00,0.62,0.64,2.59
2022-10-31 07:00:00-04:00,0.83,0.86,4.24
2022-08-02 07:00:00-04:00,0.64,0.64,-0.41
2022-05-03 07:00:00-04:00,1.12,1.33,18.62
2022-02-24 07:00:00-05:00,0.67,0.69,3.49
2021-11-02 07:00:00-04:00,0.93,0.98,5.52
2021-08-03 07:00:00-04:00,0.7,0.7,-0.49
2021-05-05 07:00:00-04:00,1.12,1.28,14.15
2021-02-26 07:00:00-05:00,0.64,0.65,1.28
2020-10-30 07:00:00-04:00,0.97,0.96,-1.25
2020-07-31 07:00:00-04:00,0.6,0.79,30.86
