timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-09 08:00:00-04:00,2.21,,
2026-04-16 06:00:00-04:00,1.55,1.61,3.75
2026-02-03 06:00:00-05:00,2.24,2.26,1.02
2025-10-09 06:00:00-04:00,2.26,2.29,1.33
2025-07-17 06:00:00-04:00,2.03,2.12,4.48
2025-04-24 06:00:00-04:00,1.49,1.48,-0.77
2025-02-04 06:00:00-05:00,1.94,1.96,0.9
2024-10-08 06:00:00-04:00,2.29,2.31,0.74
2024-07-11 06:00:00-04:00,2.16,2.28,5.57
2024-04-23 06:00:00-04:00,1.52,1.61,5.96
2024-02-09 06:00:00-05:00,1.72,1.78,3.43
2023-10-10 06:00:00-04:00,2.15,2.25,4.44
2023-07-13 06:00:00-04:00,1.96,2.09,6.56
2023-04-25 06:00:00-04:00,1.39,1.5,8.23
2023-02-09 06:00:00-05:00,1.65,1.67,1.22
2022-10-12 06:00:00-04:00,1.85,1.97,6.68
2022-07-12 06:00:00-04:00,1.74,1.86,7.1
2022-04-26 06:00:00-04:00,1.23,1.29,4.54
2022-02-10 06:00:00-05:00,1.52,1.53,0.92
2021-10-05 06:00:00-04:00,1.73,1.79,3.27
2021-07-13 06:00:00-04:00,1.53,1.72,12.72
2021-04-15 06:00:00-04:00,1.12,1.21,8.0
2021-02-11 08:00:00-05:00,1.46,1.47,0.7
2020-10-01 06:00:00-04:00,1.49,1.66,11.58
2020-07-13 06:00:00-04:00,1.25,1.32,5.99
