timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 08:00:00-04:00,8.26,,
2026-04-30 07:00:00-04:00,7.83,8.17,4.36
2026-01-29 07:00:00-05:00,7.17,7.65,6.75
2025-11-06 07:00:00-05:00,6.62,7.22,9.01
2025-08-07 07:00:00-04:00,7.08,7.69,8.57
2025-05-01 07:00:00-04:00,6.72,6.94,3.26
2025-01-30 07:00:00-05:00,6.23,6.53,4.88
2024-10-31 07:00:00-04:00,6.14,6.2,0.95
2024-08-08 07:00:00-04:00,6.22,6.77,8.81
2024-05-02 07:00:00-04:00,6.11,6.51,6.52
2024-02-01 08:00:00-05:00,5.26,6.15,16.89
2023-11-02 07:00:00-04:00,5.31,5.96,12.14
2023-08-03 07:00:00-04:00,5.49,6.08,10.77
2023-05-04 07:00:00-04:00,5.02,5.93,18.24
2023-02-02 07:00:00-05:00,4.46,4.76,6.8
2022-11-03 07:00:00-04:00,4.18,4.74,13.3
2022-08-04 07:00:00-04:00,4.7,5.16,9.84
2022-05-05 07:00:00-04:00,4.65,4.83,3.83
2022-02-03 07:00:00-05:00,3.93,4.46,13.59
2021-11-04 07:00:00-04:00,3.7,4.26,15.27
2021-08-05 07:00:00-04:00,4.33,4.38,1.12
2021-04-29 07:00:00-04:00,3.73,4.11,10.28
2021-02-04 07:00:00-05:00,2.58,3.44,33.49
2020-11-05 07:00:00-05:00,2.27,3.07,35.31
2020-08-06 07:00:00-04:00,1.49,2.55,70.63
