timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-22 08:00:00-04:00,2.36,,
2026-04-23 06:00:00-04:00,1.81,1.79,-1.15
2026-01-29 06:00:00-05:00,2.81,2.88,2.58
2025-10-21 06:00:00-04:00,2.89,2.96,2.46
2025-07-22 06:00:00-04:00,2.97,3.03,2.14
2025-04-22 06:00:00-04:00,2.42,2.57,6.0
2025-01-30 06:00:00-05:00,3.27,4.43,35.51
2024-10-22 06:00:00-04:00,3.18,3.35,5.48
2024-07-23 06:00:00-04:00,3.27,3.58,9.32
2024-04-23 06:00:00-04:00,2.36,3.1,31.2
2024-01-30 06:00:00-05:00,3.23,3.52,8.97
2023-10-24 06:00:00-04:00,2.82,2.9,2.9
2023-07-25 06:00:00-04:00,2.54,3.0,18.01
2023-04-25 06:00:00-04:00,1.82,2.35,29.3
2023-01-31 06:00:00-05:00,2.92,3.85,31.71
2022-10-25 06:00:00-04:00,2.81,2.69,-4.14
2022-07-26 06:00:00-04:00,2.63,2.73,3.75
2022-04-28 06:00:00-04:00,1.73,1.83,5.6
2022-02-01 06:00:00-05:00,2.3,2.51,9.05
2021-10-26 06:00:00-04:00,1.79,1.82,1.58
2021-07-27 06:00:00-04:00,1.73,1.9,10.13
2021-04-27 06:00:00-04:00,1.2,1.13,-5.94
2021-01-28 06:00:00-05:00,1.4,1.49,6.75
2020-10-22 06:00:00-04:00,1.15,1.34,16.55
2020-07-23 06:00:00-04:00,0.89,1.29,45.65
