timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-03 16:00:00-04:00,0.35,,
2026-05-04 16:00:00-04:00,0.28,0.33,18.08
2026-02-02 16:00:00-05:00,0.23,0.25,8.6
2025-11-03 16:00:00-05:00,0.17,0.21,25.46
2025-08-04 16:00:00-04:00,0.14,0.16,15.57
2025-05-05 16:00:00-04:00,0.13,0.13,1.11
2025-02-03 16:00:00-05:00,0.11,0.14,23.72
2024-11-04 16:00:00-05:00,0.09,0.1,10.06
2024-08-05 16:00:00-04:00,0.08,0.09,10.55
2024-05-06 16:00:00-04:00,0.08,0.08,4.1
2024-02-05 16:00:00-05:00,0.08,0.08,5.39
2023-11-02 07:00:00-04:00,0.06,0.07,25.07
2023-08-07 16:00:00-04:00,0.05,0.05,-0.79
2023-05-08 16:00:00-04:00,0.04,0.05,25.03
2023-02-13 16:00:00-05:00,0.03,0.04,49.48
2022-11-07 07:00:00-05:00,0.02,0.01,-38.61
2022-08-08 07:00:00-04:00,0.03,-0.01,-131.7
2022-05-09 07:00:00-04:00,0.04,0.02,-45.37
2022-02-17 06:00:00-05:00,0.04,0.02,-44.09
2021-11-09 07:00:00-05:00,0.04,0.04,10.16
2021-08-12 07:00:00-04:00,0.03,0.04,16.01
2021-05-11 07:00:00-04:00,0.04,0.04,7.87
2021-02-16 07:00:00-05:00,0.02,0.06,128.04
2020-11-12 16:00:00-05:00,0.03,0.06,145.25
