timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-15 08:00:00-04:00,4.41,,
2026-04-15 06:00:00-04:00,3.95,4.13,4.64
2026-01-16 06:00:00-05:00,4.21,4.88,15.87
2025-10-15 06:00:00-04:00,4.05,4.35,7.52
2025-07-16 06:00:00-04:00,3.55,3.85,8.48
2025-04-15 06:00:00-04:00,3.38,3.51,3.95
2025-01-16 06:00:00-05:00,3.35,3.77,12.65
2024-10-15 06:00:00-04:00,3.32,3.49,5.02
2024-07-16 06:00:00-04:00,3.68,3.39,-8.0
2024-04-16 06:00:00-04:00,2.99,3.1,3.75
2024-01-16 06:00:00-05:00,2.04,1.85,-9.44
2023-10-13 06:00:00-04:00,3.11,3.6,15.89
2023-07-18 06:00:00-04:00,3.28,3.36,2.49
2023-04-14 06:00:00-04:00,3.64,3.98,9.31
2023-01-18 06:00:00-05:00,3.95,3.47,-12.08
2022-10-14 06:00:00-04:00,3.7,3.78,2.16
2022-07-15 06:00:00-04:00,3.14,3.39,8.04
2022-04-14 06:00:00-04:00,2.75,3.23,17.33
2022-01-18 06:00:00-05:00,3.15,2.86,-9.11
2021-10-15 06:00:00-04:00,3.36,3.3,-1.92
2021-07-14 06:00:00-04:00,1.78,2.43,36.84
2021-04-16 06:00:00-04:00,2.76,4.1,48.45
2021-01-15 06:00:00-05:00,2.61,3.26,24.89
2020-10-14 06:00:00-04:00,2.13,3.39,58.96
2020-07-15 06:00:00-04:00,10.2,8.4,-17.65
