timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-21 08:00:00-04:00,1.48,,
2026-04-28 06:00:00-04:00,1.17,1.22,4.5
2026-02-03 06:00:00-05:00,1.16,1.18,1.83
2025-10-21 06:00:00-04:00,1.18,1.24,5.02
2025-07-22 06:00:00-04:00,1.34,1.39,4.01
2025-04-22 06:00:00-04:00,1.01,1.11,9.74
2025-02-04 06:00:00-05:00,1.02,1.08,5.96
2024-10-22 06:00:00-04:00,1.07,1.09,1.72
2024-07-23 06:00:00-04:00,1.14,1.22,6.69
2024-04-23 06:00:00-04:00,0.9,0.94,4.62
2024-01-30 06:00:00-05:00,0.86,0.87,0.75
2023-10-24 06:00:00-04:00,0.87,0.91,4.14
2023-07-27 06:00:00-04:00,0.95,1.03,7.94
2023-04-27 06:00:00-04:00,0.77,0.91,17.63
2023-01-31 06:00:00-05:00,0.79,0.82,4.26
2022-10-25 06:00:00-04:00,0.93,0.99,6.8
2022-07-26 06:00:00-04:00,1.0,1.02,2.51
2022-04-21 06:00:00-04:00,0.81,0.85,5.27
2022-02-01 06:00:00-05:00,0.85,0.81,-4.63
2021-10-26 06:00:00-04:00,0.83,0.89,6.75
2021-07-27 06:00:00-04:00,0.8,0.84,5.2
2021-04-22 05:00:00-04:00,0.62,0.81,30.14
2021-01-28 06:00:00-05:00,0.63,0.7,10.4
2020-10-20 06:00:00-04:00,0.51,0.7,37.84
2020-07-23 06:00:00-04:00,0.49,0.59,21.0
