timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 08:00:00-04:00,1.46,,
2026-05-04 08:00:00-04:00,,0.27,15889.47
2026-02-25 08:00:00-05:00,0.02,0.13,472.69
2025-11-03 08:00:00-05:00,3.09,3.39,9.67
2025-08-06 08:00:00-04:00,1.59,1.58,-0.42
2025-05-01 08:00:00-04:00,0.02,-0.04,-339.95
2025-02-25 08:00:00-05:00,-0.14,-0.06,58.07
2024-11-06 08:00:00-05:00,3.52,3.37,-4.28
2024-08-01 08:00:00-04:00,1.26,1.76,39.84
2024-05-02 07:00:00-04:00,-0.01,0.15,2769.04
2024-02-27 08:00:00-05:00,-0.13,,100.0
2023-11-02 08:00:00-04:00,3.42,3.5,2.36
2023-08-03 08:00:00-04:00,1.16,0.94,-18.99
2023-05-04 08:00:00-04:00,,-0.03,-1110.1
2023-02-27 08:00:00-05:00,-0.17,-0.21,-25.67
2022-11-03 08:00:00-04:00,2.61,2.88,10.56
2022-08-03 08:00:00-04:00,1.31,1.45,10.97
2022-05-04 08:00:00-04:00,0.07,0.15,114.29
2022-02-25 08:00:00-05:00,0.05,0.24,403.46
2021-11-05 08:00:00-04:00,2.78,3.0,7.74
2021-08-05 08:00:00-04:00,1.65,1.91,15.93
2021-05-05 08:00:00-04:00,0.25,0.32,27.61
2021-02-24 08:00:00-05:00,0.08,-0.17,-302.74
2020-10-30 08:00:00-04:00,2.9,3.07,6.0
2020-08-06 08:00:00-04:00,1.48,1.71,15.74
