timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 08:00:00-04:00,1.45,,
2026-05-06 07:00:00-04:00,1.19,1.42,19.26
2026-02-18 07:00:00-05:00,1.46,1.55,5.97
2025-11-06 06:00:00-05:00,1.15,1.24,8.07
2025-08-07 07:00:00-04:00,0.92,1.17,26.81
2025-05-08 16:00:00-04:00,0.79,1.02,29.7
2025-02-20 16:00:00-05:00,1.02,1.15,12.63
2024-11-07 16:00:00-05:00,0.76,0.9,18.29
2024-08-08 16:00:00-04:00,0.56,0.55,-2.53
2024-05-09 16:00:00-04:00,0.39,0.73,85.1
2024-02-22 16:00:00-05:00,0.66,1.4,111.44
2023-11-02 16:00:00-04:00,0.41,0.71,73.76
2023-08-08 16:00:00-04:00,0.26,0.38,43.41
2023-05-04 16:00:00-04:00,0.1,0.23,122.18
2023-02-23 16:00:00-05:00,0.19,0.55,188.9
2022-11-03 16:00:00-04:00,0.14,0.41,194.26
2022-08-04 16:00:00-04:00,0.23,-0.08,-133.56
2022-05-05 16:00:00-04:00,0.24,0.4,68.22
2022-02-23 16:00:00-05:00,0.33,0.43,29.0
2021-11-04 16:00:00-04:00,0.25,0.2,-20.79
2021-08-05 16:00:00-04:00,0.14,0.15,13.82
2021-05-06 16:00:00-04:00,0.09,,-100.0
2021-02-23 16:00:00-05:00,-0.02,-0.05,-137.17
2020-11-04 16:00:00-05:00,0.08,0.17,116.09
2020-08-06 16:00:00-04:00,0.01,0.22,1898.18
