timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,0.36,,
2026-05-08 07:00:00-04:00,0.62,0.63,2.08
2026-02-20 07:00:00-05:00,0.42,0.41,-1.25
2025-11-05 07:00:00-05:00,0.46,0.48,5.33
2025-07-31 07:00:00-04:00,0.39,0.32,-17.18
2025-04-30 07:00:00-04:00,0.54,0.6,11.02
2025-02-13 08:00:00-05:00,0.37,0.34,-8.9
2024-11-01 08:00:00-04:00,0.42,0.42,-1.12
2024-08-02 08:00:00-04:00,0.33,0.38,15.69
2024-05-01 07:00:00-04:00,0.5,0.54,7.31
2024-02-16 08:00:00-05:00,0.38,0.4,5.24
2023-11-02 08:00:00-04:00,0.42,0.43,2.29
2023-08-04 08:00:00-04:00,0.32,0.29,-8.81
2023-05-04 08:00:00-04:00,0.45,0.48,5.58
2023-02-17 08:00:00-05:00,0.29,0.28,-1.86
2022-11-04 08:00:00-04:00,0.42,0.41,-2.92
2022-08-03 08:00:00-04:00,0.3,0.3,1.17
2022-05-05 08:00:00-04:00,0.4,0.41,1.65
2022-02-18 08:00:00-05:00,0.32,0.22,-31.72
2021-11-04 08:00:00-04:00,0.38,0.36,-5.22
2021-08-05 08:00:00-04:00,0.24,0.19,-22.05
2021-05-06 08:00:00-04:00,0.64,0.28,-56.03
2021-02-18 08:00:00-05:00,0.61,0.59,-3.78
2020-11-05 08:00:00-05:00,0.6,0.58,-3.73
2020-08-10 08:00:00-04:00,0.55,0.55,0.15
