timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,3.35,,
2026-05-05 16:00:00-04:00,3.1,3.61,16.48
2026-02-03 16:00:00-05:00,3.36,3.3,-1.92
2025-10-29 16:00:00-04:00,3.73,4.01,7.65
2025-07-30 16:00:00-04:00,3.22,3.58,11.14
2025-04-30 16:00:00-04:00,3.18,3.29,3.43
2025-02-04 16:00:00-05:00,3.26,2.96,-9.21
2024-10-30 16:00:00-04:00,3.48,3.48,
2024-08-01 12:00:00-04:00,3.45,3.39,-1.66
2024-04-30 16:00:00-04:00,3.13,3.12,-0.36
2024-02-06 16:00:00-05:00,2.67,2.58,-3.2
2023-11-01 16:00:00-04:00,3.13,3.44,9.78
2023-08-01 16:00:00-04:00,3.01,2.94,-2.2
2023-05-02 16:00:00-04:00,2.93,2.66,-9.13
2023-02-07 16:00:00-05:00,2.51,2.42,-3.53
2022-11-01 16:00:00-04:00,2.02,2.13,5.51
2022-08-02 16:00:00-04:00,2.33,1.74,-25.18
2022-05-03 16:00:00-04:00,2.68,3.17,18.08
2022-02-03 16:00:00-05:00,2.36,3.18,34.95
2021-11-02 16:00:00-04:00,2.73,3.78,38.25
2021-08-03 16:00:00-04:00,3.1,3.79,22.35
2021-05-04 16:00:00-04:00,2.75,4.11,49.31
2021-02-04 16:00:00-05:00,2.57,2.93,13.88
2020-11-03 16:00:00-05:00,2.67,3.21,20.16
2020-08-04 16:00:00-04:00,1.72,1.85,7.28
