timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,2.54,,
2026-04-27 16:00:00-04:00,2.42,2.47,2.19
2026-02-12 16:00:00-05:00,2.49,2.61,4.62
2025-10-29 16:00:00-04:00,2.54,2.62,3.14
2025-07-30 16:00:00-04:00,2.55,2.58,0.95
2025-04-30 16:00:00-04:00,2.39,2.42,1.25
2025-02-24 16:00:00-05:00,2.56,2.51,-2.08
2024-10-30 16:00:00-04:00,2.6,2.56,-1.62
2024-07-30 16:00:00-04:00,2.56,2.59,1.0
2024-04-30 16:00:00-04:00,2.45,2.39,-2.56
2024-02-20 16:00:00-05:00,2.7,2.53,-6.26
2023-10-30 16:00:00-04:00,2.78,3.2,14.94
2023-08-02 16:00:00-04:00,2.89,2.98,3.31
2023-05-03 16:00:00-04:00,2.67,2.79,4.67
2023-02-21 16:00:00-05:00,2.61,2.85,9.17
2022-11-01 16:00:00-04:00,2.75,3.31,20.16
2022-08-04 16:00:00-04:00,2.54,3.42,34.46
2022-05-03 16:00:00-04:00,2.33,2.63,12.82
2022-02-22 16:00:00-05:00,2.18,3.17,45.46
2021-11-01 16:00:00-04:00,2.17,2.52,16.26
2021-08-03 16:00:00-04:00,1.94,1.97,1.63
2021-04-28 16:00:00-04:00,1.8,2.21,22.67
2021-02-24 16:00:00-05:00,1.94,1.67,-13.7
2020-11-04 16:00:00-05:00,1.72,1.41,-18.04
2020-08-05 16:00:00-04:00,1.64,1.41,-14.08
