timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 16:00:00-04:00,1.56,,
2026-05-06 16:00:00-04:00,2.1,2.69,27.86
2026-02-04 16:00:00-05:00,1.56,1.92,22.76
2025-11-05 16:00:00-05:00,2.27,3.47,52.71
2025-07-30 16:00:00-04:00,1.21,1.64,35.26
2025-04-30 16:00:00-04:00,1.4,1.79,27.58
2025-02-05 16:00:00-05:00,0.89,1.1,23.76
2024-11-06 16:00:00-05:00,1.46,1.54,5.7
2024-07-31 16:00:00-04:00,0.96,0.98,1.85
2024-05-01 16:00:00-04:00,1.22,1.46,19.4
2024-01-31 16:00:00-05:00,0.97,1.11,14.92
2023-11-01 16:00:00-04:00,1.14,1.2,5.46
2023-07-26 16:00:00-04:00,1.0,0.99,-0.6
2023-04-26 16:00:00-04:00,1.15,1.16,0.78
2023-02-01 16:00:00-05:00,1.03,0.99,-3.66
2022-11-02 15:00:00-04:00,1.15,1.27,10.19
2022-07-27 16:00:00-04:00,1.06,0.97,-8.83
2022-04-27 16:00:00-04:00,1.13,1.39,23.49
2022-01-26 17:00:00-05:00,1.03,0.95,-7.81
2021-11-03 16:00:00-04:00,0.68,1.1,62.16
2021-07-28 16:00:00-04:00,0.62,0.83,32.86
2021-04-28 16:00:00-04:00,0.7,1.08,54.24
2021-01-27 16:00:00-05:00,0.66,0.97,47.88
2020-10-28 16:00:00-04:00,0.57,0.78,36.97
2020-07-29 16:00:00-04:00,0.43,0.62,43.08
