timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 08:00:00-04:00,1.28,,
2026-05-05 07:00:00-04:00,1.27,1.34,5.59
2026-02-03 07:00:00-05:00,1.29,1.23,-4.4
2025-10-28 07:00:00-04:00,1.21,1.34,11.14
2025-07-29 07:00:00-04:00,1.3,1.4,8.0
2025-04-29 07:00:00-04:00,1.16,1.33,14.53
2025-02-04 07:00:00-05:00,1.12,1.19,5.96
2024-10-29 07:00:00-04:00,1.07,1.2,12.16
2024-07-30 07:00:00-04:00,0.99,1.19,20.63
2024-04-30 07:00:00-04:00,1.22,1.08,-11.42
2024-02-07 16:00:00-05:00,1.36,1.48,8.65
2023-11-01 16:00:00-04:00,1.23,1.3,5.78
2023-08-02 16:00:00-04:00,1.16,1.16,-0.29
2023-05-08 16:00:00-04:00,1.1,1.17,6.4
2023-02-09 16:00:00-05:00,1.2,1.24,3.38
2022-11-03 17:00:00-04:00,0.96,1.08,12.46
2022-08-02 16:00:00-04:00,0.87,0.93,6.68
2022-04-27 16:00:00-04:00,0.88,0.88,0.26
2022-02-01 16:00:00-05:00,1.12,1.11,-1.04
2021-11-08 16:00:00-05:00,1.08,1.11,3.12
2021-07-28 16:00:00-04:00,1.12,1.15,2.31
2021-05-05 16:00:00-04:00,1.02,1.22,19.99
2021-02-03 16:00:00-05:00,1.0,1.08,8.33
2020-11-02 16:00:00-05:00,0.94,1.07,13.49
2020-07-29 16:00:00-04:00,0.87,1.07,22.53
