timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-17 08:00:00-04:00,0.63,,
2026-04-17 06:00:00-04:00,0.59,0.62,4.36
2026-01-16 06:00:00-05:00,0.61,0.57,-6.81
2025-10-17 06:00:00-04:00,0.6,0.63,5.78
2025-07-18 06:00:00-04:00,0.56,0.6,7.46
2025-04-17 06:00:00-04:00,0.51,0.54,6.16
2025-01-17 06:00:00-05:00,0.55,0.59,6.34
2024-10-18 06:00:00-04:00,0.53,0.57,6.75
2024-07-19 06:00:00-04:00,0.49,0.54,10.59
2024-04-19 06:00:00-04:00,0.46,0.44,-3.48
2024-01-19 06:00:00-05:00,0.48,0.52,7.87
2023-10-20 06:00:00-04:00,0.58,0.5,-14.13
2023-07-21 06:00:00-04:00,0.59,0.59,0.29
2023-04-21 06:00:00-04:00,0.64,0.63,-1.78
2023-01-20 06:00:00-05:00,0.65,0.67,3.08
2022-10-21 06:00:00-04:00,0.59,0.56,-4.87
2022-07-22 06:00:00-04:00,0.53,0.59,10.25
2022-04-22 06:00:00-04:00,0.47,0.55,16.26
2022-01-20 06:00:00-05:00,0.5,0.44,-12.43
2021-10-22 06:00:00-04:00,0.53,0.66,24.2
2021-07-23 06:00:00-04:00,0.53,0.76,44.85
2021-04-23 06:00:00-04:00,0.48,0.64,33.92
2021-01-22 06:00:00-05:00,0.42,0.62,49.34
2020-10-20 06:00:00-04:00,0.33,0.49,49.87
2020-07-17 07:00:00-04:00,0.07,-0.23,-434.45
