timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 08:00:00-04:00,4.27,,
2026-05-21 08:00:00-04:00,2.54,2.8,10.07
2026-02-05 08:00:00-05:00,5.81,6.22,7.1
2025-11-06 08:00:00-05:00,3.45,3.79,9.86
2025-08-07 08:00:00-04:00,3.5,3.77,7.79
2025-05-22 08:00:00-04:00,2.04,2.27,11.28
2025-02-06 08:00:00-05:00,4.53,4.82,6.51
2024-11-07 08:00:00-05:00,2.42,2.54,5.15
2024-08-07 08:00:00-04:00,2.47,2.7,9.37
2024-05-23 08:00:00-04:00,1.67,1.71,2.62
2024-02-08 08:00:00-05:00,3.55,4.17,17.53
2023-11-08 08:00:00-05:00,1.93,2.1,8.6
2023-08-10 08:00:00-04:00,2.13,2.34,9.74
2023-05-25 08:00:00-04:00,0.6,0.9,49.23
2023-02-09 10:00:00-05:00,2.93,3.35,14.22
2022-11-10 08:00:00-05:00,2.08,2.23,7.27
2022-08-09 08:00:00-04:00,1.71,1.88,9.92
2022-05-24 08:00:00-04:00,0.39,0.49,26.53
2022-02-03 08:00:00-05:00,2.18,2.94,34.69
2021-11-02 08:00:00-04:00,2.0,2.62,30.89
2021-08-03 08:00:00-04:00,0.86,2.29,166.4
2021-05-20 08:00:00-04:00,-0.66,0.38,157.56
2021-02-04 08:00:00-05:00,1.73,1.67,-3.21
2020-10-29 08:00:00-04:00,0.87,1.44,65.61
2020-08-04 08:00:00-04:00,-1.71,-1.82,-6.14
