timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 08:00:00-04:00,3.38,,
2026-05-05 07:00:00-04:00,2.88,3.3,14.55
2026-02-05 07:00:00-05:00,2.48,2.75,10.73
2025-11-06 07:00:00-05:00,2.94,3.34,13.64
2025-08-06 07:00:00-04:00,2.67,2.82,5.66
2025-05-07 07:00:00-04:00,2.12,2.45,15.77
2025-02-10 07:00:00-05:00,1.58,1.83,16.03
2024-11-07 07:00:00-05:00,2.47,2.47,0.13
2024-08-07 07:00:00-04:00,2.08,2.71,30.23
2024-05-07 07:00:00-04:00,2.16,2.5,15.6
2024-01-31 07:00:00-05:00,2.63,2.04,-22.51
2023-11-02 07:00:00-04:00,3.47,3.64,4.87
2023-08-01 07:00:00-04:00,3.19,3.01,-5.66
2023-04-27 07:00:00-04:00,2.6,3.01,15.76
2023-01-26 07:00:00-05:00,1.87,2.46,31.64
2022-11-02 07:00:00-04:00,2.98,3.04,1.92
2022-07-27 07:00:00-04:00,2.34,2.66,13.6
2022-05-03 07:00:00-04:00,2.29,1.66,-27.38
2022-01-27 07:00:00-05:00,1.91,2.14,12.17
2021-11-02 07:00:00-04:00,2.18,2.33,7.12
2021-07-27 07:00:00-04:00,2.09,2.31,10.34
2021-04-28 07:00:00-04:00,2.16,2.41,11.61
2021-01-26 07:00:00-05:00,1.87,2.38,26.98
2020-11-10 07:00:00-05:00,1.75,1.87,6.69
2020-07-28 07:00:00-04:00,1.17,1.27,8.69
