timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-23 08:00:00-04:00,5.29,,
2026-04-23 07:00:00-04:00,4.99,5.16,3.49
2026-01-27 06:00:00-05:00,5.14,5.21,1.38
2025-10-23 06:00:00-04:00,5.11,5.14,0.58
2025-07-21 06:00:00-04:00,4.83,4.87,0.75
2025-04-28 06:00:00-04:00,4.74,4.78,0.76
2025-01-30 06:00:00-05:00,4.73,4.81,1.73
2024-10-23 06:00:00-04:00,4.53,4.62,1.94
2024-07-24 07:00:00-04:00,4.47,4.48,0.31
2024-04-26 06:00:00-04:00,4.34,4.41,1.63
2024-01-31 06:00:00-05:00,4.33,4.37,0.86
2023-10-25 06:00:00-04:00,4.22,4.32,2.33
2023-07-21 06:00:00-04:00,3.99,4.12,3.15
2023-04-27 06:00:00-04:00,3.85,3.9,1.25
2023-01-27 06:00:00-05:00,3.77,3.92,3.86
2022-10-26 06:00:00-04:00,3.45,3.67,6.38
2022-07-22 06:00:00-04:00,3.35,3.95,17.91
2022-04-26 06:00:00-04:00,3.68,3.77,2.45
2022-02-02 06:00:00-05:00,3.7,3.73,0.93
2021-10-22 06:00:00-04:00,3.85,3.91,1.68
2021-07-23 06:00:00-04:00,3.66,3.76,2.65
2021-04-27 06:00:00-04:00,3.32,3.6,8.6
2021-01-29 06:00:00-05:00,3.49,3.56,1.96
2020-10-27 06:00:00-04:00,3.04,3.17,4.45
2020-07-28 06:00:00-04:00,2.68,2.94,9.7
