timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-27 08:00:00-04:00,1.22,,
2026-05-05 06:00:00-04:00,1.01,1.06,4.47
2026-02-02 06:00:00-05:00,1.58,1.7,7.8
2025-10-27 06:00:00-04:00,1.14,1.18,3.63
2025-07-28 06:00:00-04:00,1.14,1.18,3.36
2025-04-28 06:00:00-04:00,0.95,1.01,6.39
2025-01-31 06:00:00-05:00,1.38,1.42,3.1
2024-11-04 06:00:00-05:00,1.13,1.28,13.6
2024-07-29 06:00:00-04:00,1.12,1.22,9.15
2024-04-29 06:00:00-04:00,0.94,0.98,4.72
2024-02-01 06:00:00-05:00,1.16,1.25,7.47
2023-10-30 06:00:00-04:00,1.19,1.18,-1.11
2023-08-01 06:00:00-04:00,1.19,1.21,2.0
2023-05-11 06:00:00-04:00,1.02,1.01,-1.27
2023-02-14 06:00:00-05:00,1.66,1.7,2.34
2022-11-08 06:00:00-05:00,1.48,1.51,2.37
2022-08-01 06:00:00-04:00,2.01,2.32,15.49
2022-05-03 16:00:00-04:00,2.12,2.41,13.77
2022-02-01 16:00:00-05:00,2.35,2.56,9.17
2021-11-02 16:00:00-04:00,1.92,2.31,20.06
2021-07-26 06:00:00-04:00,2.44,2.83,15.83
2021-05-04 16:00:00-04:00,3.07,3.72,21.26
2021-02-02 16:00:00-05:00,3.02,3.96,31.22
2020-10-28 16:00:00-04:00,1.49,2.09,40.32
2020-07-28 16:00:00-04:00,0.88,1.57,77.98
