timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-03 16:00:00-04:00,1.94,,
2026-04-29 16:00:00-04:00,1.74,1.74,-0.28
2026-02-26 16:00:00-05:00,4.05,3.47,-14.33
2025-11-03 16:00:00-05:00,2.16,2.2,1.78
2025-08-04 16:00:00-04:00,2.26,2.09,-7.52
2025-04-28 16:00:00-04:00,2.32,1.77,-23.6
2025-02-24 16:00:00-05:00,2.31,2.33,0.9
2024-10-28 16:00:00-04:00,2.35,2.25,-4.29
2024-07-29 16:00:00-04:00,2.32,2.13,-8.32
2024-04-29 16:00:00-04:00,1.36,1.69,23.91
2024-02-26 16:00:00-05:00,1.39,0.75,-46.14
2023-11-02 16:00:00-04:00,2.24,1.09,-51.26
2023-07-31 16:00:00-04:00,1.3,1.62,24.23
2023-05-01 16:00:00-04:00,1.09,0.68,-37.48
2023-02-21 16:00:00-05:00,1.33,0.87,-34.68
2022-10-31 16:00:00-04:00,1.03,1.15,11.81
2022-08-01 16:00:00-04:00,0.96,1.03,6.87
2022-04-25 16:00:00-04:00,1.02,1.06,3.95
2022-02-28 16:00:00-05:00,0.82,0.9,9.82
2021-11-01 16:00:00-04:00,0.95,0.83,-12.21
2021-08-02 16:00:00-04:00,0.73,0.72,-0.48
2021-04-26 16:00:00-04:00,0.35,0.45,28.44
2021-02-22 16:00:00-05:00,0.53,1.67,214.28
2020-11-02 16:00:00-05:00,0.48,0.2,-58.36
2020-08-03 16:00:00-04:00,0.27,0.2,-25.93
