timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-24 08:00:00-04:00,0.52,,
2026-04-24 06:00:00-04:00,0.51,0.52,1.13
2026-01-23 06:00:00-05:00,0.74,0.78,4.96
2025-10-17 06:00:00-04:00,0.66,0.69,3.95
2025-07-18 06:00:00-04:00,0.73,0.74,1.68
2025-04-25 06:00:00-04:00,0.73,0.72,-1.34
2025-01-17 06:00:00-05:00,0.9,0.92,2.01
2024-10-18 06:00:00-04:00,0.88,0.89,0.63
2024-07-19 06:00:00-04:00,0.83,0.85,2.55
2024-04-19 06:00:00-04:00,0.75,0.75,0.14
2024-01-19 06:00:00-05:00,0.83,0.86,3.23
2023-10-20 06:00:00-04:00,0.77,0.78,1.62
2023-07-21 06:00:00-04:00,0.71,0.72,1.0
2023-04-21 06:00:00-04:00,0.61,0.63,3.59
2023-01-20 07:00:00-05:00,0.68,0.71,4.9
2022-10-21 06:00:00-04:00,0.55,0.63,14.32
2022-07-22 06:00:00-04:00,0.4,0.5,25.09
2022-04-22 06:00:00-04:00,0.33,0.34,2.0
2022-01-21 06:00:00-05:00,0.39,0.41,5.07
2021-10-22 06:00:00-04:00,0.36,0.36,0.83
2021-07-23 06:00:00-04:00,0.26,0.3,15.79
2021-04-23 06:00:00-04:00,0.19,0.21,12.76
2021-01-22 06:00:00-05:00,0.17,0.22,29.07
2020-10-16 04:00:00-04:00,0.13,0.16,25.94
2020-07-24 06:00:00-04:00,-0.01,0.05,486.1
