timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 16:00:00-04:00,0.71,,
2026-05-05 16:00:00-04:00,0.62,0.84,34.51
2026-02-03 16:00:00-05:00,0.49,0.69,41.43
2025-11-04 16:00:00-05:00,0.39,0.35,-10.08
2025-08-05 16:00:00-04:00,0.44,0.41,-6.58
2025-05-06 16:00:00-04:00,0.3,0.31,3.78
2025-02-25 16:00:00-05:00,0.59,0.6,1.92
2025-02-25 16:00:00-05:00,0.75,0.74,-1.93
2024-08-06 16:00:00-04:00,0.81,0.63,-23.24
2024-04-30 16:00:00-04:00,0.56,0.67,19.4
2024-01-29 16:00:00-05:00,0.52,0.56,8.32
2023-11-01 16:00:00-04:00,0.32,0.34,5.65
2023-08-08 16:00:00-04:00,0.29,0.35,20.72
2023-05-02 16:00:00-04:00,0.17,0.16,-4.57
2023-01-31 16:00:00-05:00,0.3,0.33,7.71
2022-11-01 16:00:00-04:00,0.28,0.34,21.42
2022-08-09 16:00:00-04:00,0.23,0.26,11.65
2022-05-03 16:00:00-04:00,0.12,0.16,26.71
2022-02-01 16:00:00-05:00,0.08,0.09,13.18
2021-11-02 16:00:00-04:00,0.04,0.06,54.67
2021-08-10 16:00:00-04:00,0.08,0.08,3.85
2021-05-04 16:00:00-04:00,0.05,0.05,6.95
2021-02-02 16:00:00-05:00,0.04,0.06,44.0
2020-11-03 16:00:00-05:00,0.02,0.06,254.84
2020-08-11 16:00:00-04:00,0.05,0.07,29.11
