timestamp,eps_estimate,eps_reported,surprise_pct
2026-09-08 16:00:00-04:00,3.67,,
2026-05-27 16:00:00-04:00,3.16,3.35,5.95
2026-02-25 16:00:00-05:00,3.56,3.77,5.98
2025-12-10 16:00:00-05:00,2.78,2.9,4.18
2025-09-09 16:00:00-04:00,3.75,3.39,-9.48
2025-05-28 16:00:00-04:00,3.4,3.67,7.99
2025-02-26 16:00:00-05:00,2.79,3.03,8.57
2024-12-04 16:00:00-05:00,3.3,3.4,3.0
2024-08-21 16:00:00-04:00,3.29,3.43,4.3
2024-05-22 16:00:00-04:00,2.95,3.0,1.61
2024-02-21 16:00:00-05:00,3.41,3.56,4.26
2023-11-29 16:00:00-05:00,3.03,3.17,4.47
2023-08-16 16:00:00-04:00,2.74,2.88,5.25
2023-05-17 16:00:00-04:00,2.47,2.54,2.96
2023-02-15 16:00:00-05:00,2.49,2.62,5.37
2022-11-30 16:00:00-05:00,1.84,1.91,3.91
2022-08-17 16:00:00-04:00,2.04,2.1,2.88
2022-05-18 16:00:00-04:00,2.37,2.5,5.35
2022-02-16 16:00:00-05:00,2.37,2.4,1.08
2021-12-01 16:00:00-05:00,1.79,1.82,1.73
2021-08-18 16:00:00-04:00,1.78,1.81,1.9
2021-05-19 16:00:00-04:00,1.53,1.7,11.44
2021-02-17 16:00:00-05:00,1.46,1.52,4.09
2020-12-02 16:00:00-05:00,1.57,1.58,0.51
2020-08-19 16:00:00-04:00,1.34,1.74,29.42
