timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,1.01,,
2026-04-30 07:00:00-04:00,1.21,1.32,8.87
2026-02-19 07:00:00-05:00,0.56,0.55,-1.37
2025-10-30 07:00:00-04:00,1.51,1.6,6.04
2025-07-31 07:00:00-04:00,0.88,0.92,4.65
2025-05-01 07:00:00-04:00,1.19,1.23,3.02
2025-02-20 07:00:00-05:00,0.51,0.5,-1.7
2024-10-31 07:00:00-04:00,1.34,1.43,6.71
2024-08-01 06:00:00-04:00,0.93,1.1,18.46
2024-05-02 07:00:00-04:00,0.9,1.03,13.91
2024-02-15 07:00:00-05:00,0.6,0.64,6.46
2023-11-02 07:00:00-04:00,1.32,1.42,7.32
2023-08-03 07:00:00-04:00,0.75,0.79,5.76
2023-04-27 06:00:00-04:00,0.71,0.79,11.62
2023-02-16 06:00:00-05:00,0.24,0.26,7.04
2022-10-27 06:00:00-04:00,1.33,1.31,-1.26
2022-07-28 06:00:00-04:00,0.84,1.07,26.87
2022-04-28 06:00:00-04:00,0.91,0.97,6.79
2022-02-17 06:00:00-05:00,0.35,0.36,2.29
2021-11-04 06:00:00-04:00,1.22,1.23,0.9
2021-07-29 06:00:00-04:00,0.79,0.84,5.91
2021-04-29 06:00:00-04:00,0.83,0.98,17.55
2021-02-18 06:00:00-05:00,0.42,0.47,12.22
2020-10-29 06:00:00-04:00,1.21,1.22,0.97
2020-07-30 06:00:00-04:00,0.67,0.78,16.02
