timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 08:00:00-04:00,1.01,,
2026-05-07 07:00:00-04:00,1.51,1.51,-0.29
2026-02-26 07:00:00-05:00,1.17,1.28,9.2
2025-11-05 07:00:00-05:00,0.91,1.11,21.74
2025-08-07 07:00:00-04:00,0.85,0.89,4.77
2025-05-08 07:00:00-04:00,1.32,1.44,9.33
2025-02-25 07:00:00-05:00,1.55,1.5,-3.27
2024-11-06 07:00:00-05:00,1.07,0.89,-16.63
2024-08-06 07:00:00-04:00,0.94,0.89,-5.03
2024-05-07 07:00:00-04:00,1.29,1.34,3.9
2024-02-27 06:00:00-05:00,1.08,1.13,4.83
2023-11-03 06:00:00-04:00,1.01,1.08,7.09
2023-08-03 06:00:00-04:00,0.87,0.94,7.7
2023-05-04 06:00:00-04:00,1.38,1.46,5.57
2023-02-28 06:00:00-05:00,1.02,1.18,15.36
2022-11-03 06:00:00-04:00,0.89,0.99,10.23
2022-08-04 06:00:00-04:00,0.88,0.99,12.15
2022-05-05 06:00:00-04:00,1.4,1.46,4.17
2022-02-25 06:00:00-05:00,1.0,1.08,8.16
2021-11-05 06:00:00-04:00,0.85,0.85,0.45
2021-08-05 06:00:00-04:00,0.79,0.82,3.56
2021-05-05 06:00:00-04:00,1.35,1.48,9.31
2021-02-25 06:00:00-05:00,0.79,0.95,20.87
2020-11-05 06:00:00-05:00,0.76,0.66,-13.65
2020-08-05 06:00:00-04:00,0.78,0.83,6.4
