timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-20 16:00:00-04:00,3.7,,
2026-04-20 16:00:00-04:00,2.79,2.78,-0.19
2026-01-26 07:00:00-05:00,1.69,1.82,7.92
2025-10-20 16:00:00-04:00,2.63,2.74,4.16
2025-07-21 16:00:00-04:00,2.08,2.01,-3.46
2025-04-22 16:00:00-04:00,1.38,1.44,4.0
2025-01-22 17:00:00-05:00,1.29,1.36,5.5
2024-10-16 16:00:00-04:00,1.98,2.05,3.44
2024-07-17 16:00:00-04:00,2.67,2.72,1.94
2024-04-23 16:00:00-04:00,3.45,3.67,6.51
2024-01-23 16:00:00-05:00,2.62,2.61,-0.51
2023-10-18 16:00:00-04:00,3.5,3.47,-0.79
2023-07-19 16:00:00-04:00,4.8,4.81,0.31
2023-04-19 16:00:00-04:00,3.62,4.01,10.66
2023-01-25 16:00:00-05:00,3.59,4.37,21.58
2022-10-19 16:00:00-04:00,5.13,5.46,6.37
2022-07-20 16:00:00-04:00,6.14,6.73,9.66
2022-04-20 16:00:00-04:00,5.72,6.02,5.18
2022-01-24 16:00:00-05:00,5.71,5.78,1.25
2021-10-18 16:00:00-04:00,4.85,4.96,2.26
2021-07-19 16:00:00-04:00,3.38,3.4,0.55
2021-04-19 16:00:00-04:00,1.98,2.1,6.04
2021-01-25 16:00:00-05:00,0.82,0.97,18.16
2020-10-19 18:00:00-04:00,0.48,0.51,5.95
2020-07-20 18:00:00-04:00,0.43,0.47,10.32
