timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,1.21,,
2026-04-29 06:00:00-04:00,0.59,0.8,34.6
2026-02-04 06:00:00-05:00,1.28,1.41,9.92
2025-11-04 06:00:00-05:00,1.19,1.43,20.02
2025-07-29 06:00:00-04:00,0.42,1.08,159.66
2025-04-30 06:00:00-04:00,0.66,0.75,13.85
2025-02-05 06:00:00-05:00,1.27,1.49,17.3
2024-10-29 06:00:00-04:00,1.05,1.22,16.52
2024-07-30 06:00:00-04:00,0.84,1.09,30.25
2024-05-02 06:00:00-04:00,0.55,0.56,1.11
2024-02-01 06:00:00-05:00,0.78,0.92,17.39
2023-10-27 06:00:00-04:00,0.83,1.05,26.24
2023-08-01 06:00:00-04:00,-0.35,-0.11,68.3
2023-05-04 06:00:00-04:00,-0.74,-0.41,44.25
2023-02-02 06:00:00-05:00,-0.34,-0.1,70.73
2022-10-27 06:00:00-04:00,0.7,0.76,9.25
2022-07-28 06:00:00-04:00,2.13,1.77,-16.8
2022-04-28 06:00:00-04:00,1.7,2.1,23.56
2022-02-01 06:00:00-05:00,2.04,2.14,4.97
2021-10-28 06:00:00-04:00,2.47,2.77,12.03
2021-07-27 06:00:00-04:00,2.9,3.08,6.22
2021-04-28 06:00:00-04:00,2.57,3.13,21.82
2021-01-28 06:00:00-05:00,3.02,3.29,9.11
2020-10-27 06:00:00-04:00,2.7,2.89,7.13
2020-07-30 06:00:00-04:00,1.25,1.6,27.59
