timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 16:00:00-04:00,3.49,,
2026-04-30 16:00:00-04:00,2.98,2.6,-12.86
2026-01-29 16:00:00-05:00,4.4,4.47,1.7
2025-10-30 16:00:00-04:00,3.13,3.19,1.87
2025-07-31 16:00:00-04:00,3.07,3.13,1.95
2025-05-01 16:00:00-04:00,2.73,2.84,4.01
2025-01-28 16:00:00-05:00,3.87,4.01,3.49
2024-10-29 16:00:00-04:00,2.77,2.87,3.49
2024-07-30 16:00:00-04:00,2.79,2.81,0.68
2024-04-30 16:00:00-04:00,2.36,2.5,6.12
2024-01-30 16:00:00-05:00,3.27,3.46,5.88
2023-11-02 16:00:00-04:00,2.44,2.46,0.92
2023-08-03 16:00:00-04:00,2.38,2.54,6.8
2023-05-01 16:00:00-04:00,2.0,2.14,6.86
2023-01-31 16:00:00-05:00,2.84,3.0,5.81
2022-10-31 16:00:00-04:00,2.23,2.12,-4.85
2022-07-26 16:00:00-04:00,2.28,2.25,-1.51
2022-04-28 16:00:00-04:00,1.92,1.97,2.74
2022-01-27 16:00:00-05:00,2.72,2.71,-0.45
2021-10-28 16:00:00-04:00,2.28,2.2,-3.57
2021-07-27 16:00:00-04:00,2.13,2.25,5.86
2021-04-27 16:00:00-04:00,1.98,1.93,-2.75
2021-01-27 16:00:00-05:00,2.55,2.81,10.22
2020-10-29 16:00:00-04:00,1.43,2.14,50.04
2020-07-30 16:00:00-04:00,0.57,0.64,12.28
