timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 08:00:00-04:00,1.51,,
2026-04-28 08:00:00-04:00,0.94,0.94,-0.39
2026-01-27 08:00:00-05:00,0.98,0.99,1.39
2025-10-28 08:00:00-04:00,1.12,1.15,2.57
2025-07-29 08:00:00-04:00,1.39,1.48,6.48
2025-04-29 08:00:00-04:00,1.02,0.96,-6.25
2025-01-28 08:00:00-05:00,0.92,0.93,0.75
2024-10-29 08:00:00-04:00,1.13,1.09,-3.13
2024-07-30 08:00:00-04:00,1.38,1.39,1.03
2024-04-30 08:00:00-04:00,0.95,0.96,1.09
2024-01-30 08:00:00-05:00,0.88,0.89,1.62
2023-10-31 08:00:00-04:00,1.04,1.07,3.08
2023-08-01 08:00:00-04:00,1.33,1.34,0.84
2023-05-02 08:00:00-04:00,0.92,0.9,-2.27
2023-01-31 08:00:00-05:00,0.84,0.8,-5.0
2022-11-01 08:00:00-04:00,0.99,0.97,-2.48
2022-08-09 08:00:00-04:00,1.11,1.15,3.15
2022-05-10 08:00:00-04:00,0.55,0.71,28.28
2022-02-08 08:00:00-05:00,0.7,0.57,-18.32
2021-11-09 08:00:00-05:00,0.87,0.83,-4.15
2021-08-10 08:00:00-04:00,0.6,0.71,17.57
2021-05-04 08:00:00-04:00,0.2,0.22,11.53
2021-02-02 08:00:00-05:00,0.35,0.17,-51.34
2020-11-03 08:00:00-05:00,0.27,0.34,25.92
2020-08-11 08:00:00-04:00,-0.31,-0.29,6.39
