timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 08:00:00-04:00,0.52,,
2026-05-06 06:00:00-04:00,0.53,0.53,-0.82
2026-02-04 06:00:00-05:00,0.43,0.46,5.84
2025-11-05 06:00:00-05:00,0.42,0.42,-0.36
2025-08-06 06:00:00-04:00,0.5,0.53,5.79
2025-05-07 06:00:00-04:00,0.51,0.56,10.41
2025-02-05 06:00:00-05:00,0.39,0.42,7.77
2024-10-30 06:00:00-04:00,0.38,0.42,10.24
2024-08-07 06:00:00-04:00,0.49,0.49,-0.96
2024-05-01 06:00:00-04:00,0.46,0.48,5.27
2024-02-01 06:00:00-05:00,0.41,0.4,-3.12
2023-10-31 06:00:00-04:00,0.44,0.41,-5.77
2023-08-08 06:00:00-04:00,0.55,0.55,0.34
2023-05-03 06:00:00-04:00,0.53,0.53,-0.2
2023-02-02 06:00:00-05:00,0.49,0.47,-3.72
2022-11-01 06:00:00-04:00,0.46,0.45,-2.74
2022-08-04 06:00:00-04:00,0.52,0.51,-1.3
2022-05-04 06:00:00-04:00,0.5,0.54,7.15
2022-02-01 06:00:00-05:00,0.45,0.47,5.11
2021-11-02 06:00:00-04:00,0.43,0.46,6.18
2021-08-05 06:00:00-04:00,0.43,0.47,9.92
2021-05-06 06:00:00-04:00,0.39,0.45,15.35
2021-02-02 06:00:00-05:00,0.34,0.41,18.16
2020-11-05 06:00:00-05:00,0.28,0.36,29.61
2020-08-04 06:00:00-04:00,0.19,0.25,30.99
