timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-22 08:00:00-04:00,2.84,,
2026-04-22 06:00:00-04:00,2.7,2.73,1.13
2026-01-21 06:00:00-05:00,2.55,2.72,6.46
2025-10-29 06:00:00-04:00,2.29,2.44,6.58
2025-07-23 06:00:00-04:00,2.08,2.27,9.25
2025-04-23 06:00:00-04:00,1.96,2.1,6.94
2025-01-22 06:00:00-05:00,1.89,1.95,3.36
2024-10-30 06:00:00-04:00,1.94,1.95,0.42
2024-07-24 06:00:00-04:00,1.86,1.91,2.91
2024-04-24 06:00:00-04:00,1.83,1.86,1.66
2024-01-24 06:00:00-05:00,1.71,1.84,7.83
2023-11-01 06:00:00-04:00,1.76,1.78,1.33
2023-07-26 06:00:00-04:00,1.67,1.77,6.25
2023-04-26 06:00:00-04:00,1.58,1.65,4.67
2023-01-25 06:00:00-05:00,1.51,1.53,1.35
2022-11-02 06:00:00-04:00,1.87,1.88,0.67
2022-07-27 06:00:00-04:00,1.75,1.86,6.45
2022-04-27 06:00:00-04:00,1.7,1.81,6.27
2022-01-26 06:00:00-05:00,1.62,1.76,8.96
2021-10-27 06:00:00-04:00,1.63,1.69,3.48
2021-07-28 06:00:00-04:00,1.58,1.79,13.23
2021-04-21 06:00:00-04:00,1.48,1.57,6.4
2021-01-27 06:00:00-05:00,1.29,1.47,14.36
2020-10-28 06:00:00-04:00,0.87,1.16,33.18
2020-07-29 06:00:00-04:00,0.41,0.59,45.14
