timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,2.05,,
2026-04-28 16:00:00-04:00,2.12,2.56,20.93
2026-02-02 16:00:00-05:00,1.38,1.8,30.11
2025-10-28 17:00:00-04:00,0.79,0.85,7.45
2025-07-29 17:00:00-04:00,0.54,0.57,4.94
2025-04-28 17:00:00-04:00,0.62,0.75,21.74
2025-01-29 17:00:00-05:00,0.91,0.95,4.54
2024-10-23 17:00:00-04:00,0.79,0.9,14.24
2024-07-24 17:00:00-04:00,0.77,0.86,11.82
2024-04-24 17:00:00-04:00,0.33,0.51,55.48
2024-01-30 17:00:00-05:00,0.72,0.79,10.04
2023-10-26 06:00:00-04:00,0.73,0.8,9.7
2023-07-26 17:00:00-04:00,0.66,0.79,20.09
2023-04-26 17:00:00-04:00,0.44,0.55,24.03
2023-01-25 17:00:00-05:00,0.75,0.92,22.55
2022-10-25 17:00:00-04:00,1.04,1.15,10.53
2022-07-26 17:00:00-04:00,1.14,1.21,5.73
2022-04-26 17:00:00-04:00,0.89,0.98,10.59
2022-01-26 17:00:00-05:00,1.29,1.37,5.84
2021-10-26 17:00:00-04:00,1.44,1.59,10.51
2021-07-27 17:00:00-04:00,1.75,1.91,8.98
2021-04-27 17:00:00-04:00,1.05,1.11,5.9
2021-01-27 17:00:00-05:00,1.01,1.1,9.06
2020-10-20 17:00:00-04:00,1.12,1.18,5.56
2020-07-21 17:00:00-04:00,1.03,1.33,29.35
