timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-17 08:00:00-04:00,1.08,,
2026-04-17 06:00:00-04:00,1.0,1.09,9.4
2026-01-21 06:00:00-05:00,1.09,1.12,2.66
2025-10-17 06:00:00-04:00,0.99,1.04,4.95
2025-07-18 06:00:00-04:00,0.92,0.9,-2.23
2025-04-17 06:00:00-04:00,0.86,0.89,2.97
2025-01-17 06:00:00-05:00,0.88,0.91,3.78
2024-10-17 06:00:00-04:00,0.9,0.97,7.55
2024-07-22 06:00:00-04:00,0.83,0.91,9.18
2024-04-22 06:00:00-04:00,0.8,0.9,11.84
2024-01-18 06:00:00-05:00,0.9,0.81,-9.5
2023-10-19 06:00:00-04:00,0.83,0.84,1.74
2023-07-20 06:00:00-04:00,1.03,0.92,-10.37
2023-04-20 06:00:00-04:00,1.15,1.09,-4.87
2023-01-19 05:00:00-05:00,1.28,1.3,1.66
2022-10-18 05:00:00-04:00,1.23,1.24,1.21
2022-07-19 05:00:00-04:00,1.15,1.2,4.03
2022-04-19 05:00:00-04:00,1.09,1.23,13.32
2022-01-18 05:00:00-05:00,1.26,1.38,9.9
2021-10-15 05:00:00-04:00,1.2,1.42,18.11
2021-07-15 05:00:00-04:00,1.18,1.55,31.63
2021-04-15 05:00:00-04:00,1.1,1.18,7.51
2021-01-21 05:00:00-05:00,0.96,1.18,22.93
2020-10-15 05:00:00-04:00,0.88,0.97,10.44
2020-07-16 05:00:00-04:00,0.77,0.82,6.7
