timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-23 08:00:00-04:00,5.71,,
2026-04-23 06:00:00-04:00,5.24,5.44,3.79
2026-01-29 06:00:00-05:00,6.45,6.57,1.87
2025-10-22 06:00:00-04:00,5.5,5.79,5.32
2025-07-23 06:00:00-04:00,5.23,5.36,2.55
2025-04-23 06:00:00-04:00,5.1,5.15,0.94
2025-01-30 06:00:00-05:00,5.94,6.1,2.66
2024-10-23 06:00:00-04:00,5.25,5.28,0.5
2024-07-24 06:00:00-04:00,5.13,5.37,4.72
2024-04-24 06:00:00-04:00,4.71,5.11,8.45
2024-01-31 06:00:00-05:00,5.65,5.67,0.42
2023-10-25 06:00:00-04:00,5.61,5.69,1.37
2023-07-26 06:00:00-04:00,5.43,5.15,-5.17
2023-04-26 06:00:00-04:00,5.03,5.03,-0.08
2023-02-01 06:00:00-05:00,5.2,5.4,3.84
2022-10-26 06:00:00-04:00,4.82,5.08,5.5
2022-07-28 06:00:00-04:00,4.98,5.51,10.61
2022-04-28 06:00:00-04:00,6.21,7.25,16.8
2022-02-02 06:00:00-05:00,5.27,6.54,24.01
2021-10-27 06:00:00-04:00,4.7,5.76,22.68
2021-07-28 06:00:00-04:00,5.47,5.6,2.31
2021-04-29 06:00:00-04:00,6.68,7.21,7.87
2021-02-01 06:00:00-05:00,6.57,7.09,7.89
2020-10-21 06:00:00-04:00,4.3,5.63,30.82
2020-07-22 06:00:00-04:00,2.89,3.89,34.57
