timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-13 08:00:00-04:00,1.25,,
2026-05-07 06:00:00-04:00,1.3,1.66,27.77
2026-02-05 06:00:00-05:00,2.23,2.69,20.67
2025-11-06 06:00:00-05:00,1.27,1.38,8.91
2025-08-14 06:00:00-04:00,1.02,1.04,2.1
2025-05-08 06:00:00-04:00,0.88,1.03,17.05
2025-02-06 06:00:00-05:00,1.75,2.0,14.42
2024-08-15 06:00:00-04:00,0.88,0.92,4.45
2024-05-09 06:00:00-04:00,0.68,0.81,19.93
2024-02-08 06:00:00-05:00,1.46,1.63,11.48
2023-11-09 06:00:00-05:00,0.9,0.93,3.04
2023-08-17 06:00:00-04:00,0.97,0.95,-1.7
2023-05-11 06:00:00-04:00,0.6,0.78,30.55
2023-02-09 06:00:00-05:00,1.27,1.36,6.87
2022-11-10 06:00:00-05:00,0.76,0.79,3.87
2022-08-18 06:00:00-04:00,0.77,0.78,0.93
2022-05-12 06:00:00-04:00,0.41,0.51,23.49
2022-02-10 06:00:00-05:00,1.19,1.33,12.16
2021-11-11 06:00:00-05:00,0.7,0.82,17.95
2021-08-19 06:00:00-04:00,0.69,0.74,7.83
2021-05-06 06:00:00-04:00,0.31,0.51,62.91
2021-02-04 06:00:00-05:00,1.0,1.15,14.79
2020-10-29 06:00:00-04:00,0.22,0.58,159.72
2020-08-13 06:00:00-04:00,-0.6,-0.25,58.5
2020-04-30 07:00:00-04:00,-0.04,-0.27,-665.96
