timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-17 08:00:00-04:00,4.96,,
2026-04-16 06:00:00-04:00,7.08,7.71,8.93
2026-01-21 06:00:00-05:00,8.92,11.06,24.02
2025-10-16 06:00:00-04:00,6.38,8.14,27.6
2025-07-17 06:00:00-04:00,3.61,6.51,80.1
2025-04-16 06:00:00-04:00,0.77,1.91,147.67
2025-01-22 06:00:00-05:00,6.6,9.15,38.54
2024-10-17 06:00:00-04:00,3.6,5.42,50.41
2024-07-19 06:00:00-04:00,2.0,2.51,25.61
2024-04-17 07:00:00-04:00,4.86,4.69,-3.43
2024-01-19 06:00:00-05:00,5.09,7.01,37.79
2023-10-18 06:00:00-04:00,3.07,1.95,-36.45
2023-07-20 06:00:00-04:00,2.12,0.06,-97.17
2023-04-19 06:00:00-04:00,3.58,4.11,14.71
2023-01-24 07:00:00-05:00,3.4,3.4,
2022-10-19 06:00:00-04:00,1.6,2.2,37.21
2022-07-21 06:00:00-04:00,1.97,2.57,30.19
2022-04-19 06:00:00-04:00,3.62,4.22,16.69
2022-01-20 06:00:00-05:00,3.81,5.2,36.31
2021-10-19 06:00:00-04:00,1.94,2.6,33.99
2021-07-20 06:00:00-04:00,2.38,3.45,44.79
2021-04-20 06:00:00-04:00,2.4,2.73,13.94
2021-01-21 06:00:00-05:00,3.15,4.91,55.81
2020-10-20 06:00:00-04:00,3.04,3.12,2.49
2020-07-23 06:00:00-04:00,-0.2,-0.2,0.73
