timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 16:00:00-04:00,0.4,,
2026-05-07 16:00:00-04:00,0.32,0.28,-12.39
2026-02-25 16:00:00-05:00,0.58,0.59,1.67
2025-11-06 16:00:00-05:00,0.44,0.45,1.85
2025-08-07 16:00:00-04:00,0.41,0.41,-0.92
2025-05-08 16:00:00-04:00,0.25,0.33,33.23
2025-02-12 16:00:00-05:00,0.57,0.59,3.61
2024-11-07 16:00:00-05:00,0.39,0.41,4.27
2024-08-08 16:00:00-04:00,0.36,0.39,9.54
2024-05-08 22:00:00-04:00,0.22,0.26,20.74
2024-02-15 16:00:00-05:00,0.43,0.41,-4.58
2023-11-09 16:00:00-05:00,0.29,0.33,13.63
2023-08-09 16:00:00-04:00,0.26,0.28,8.51
2023-05-10 16:00:00-04:00,0.12,0.23,87.86
2023-02-15 06:00:00-05:00,0.36,0.38,5.95
2022-11-09 06:00:00-05:00,0.23,0.26,15.22
2022-08-09 16:00:00-04:00,0.2,0.2,0.39
2022-05-10 17:00:00-04:00,0.14,0.21,47.07
2022-02-16 07:00:00-05:00,0.28,0.42,51.18
2021-11-08 07:00:00-05:00,0.15,0.18,19.98
2021-08-09 08:00:00-04:00,0.13,0.18,42.76
2021-05-10 08:00:00-04:00,0.08,0.14,75.11
2021-02-18 16:00:00-05:00,0.19,0.37,97.51
2020-11-05 16:00:00-05:00,0.05,0.13,181.22
2020-08-06 16:00:00-04:00,0.03,0.09,237.99
