timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-10 16:00:00-04:00,-0.21,,
2026-05-21 16:00:00-04:00,0.56,0.8,43.47
2026-02-03 16:00:00-05:00,0.83,1.23,47.51
2025-11-06 16:00:00-05:00,0.93,1.46,56.48
2025-08-07 16:00:00-04:00,0.27,0.61,128.1
2025-05-15 16:00:00-04:00,1.09,1.3,18.88
2025-02-06 16:00:00-05:00,0.56,0.73,29.71
2024-11-06 16:00:00-05:00,-2.11,-2.08,1.58
2024-08-08 16:00:00-04:00,-1.37,-1.52,-11.17
2024-05-16 16:00:00-04:00,-0.98,-17.02,-1643.19
2024-02-08 16:00:00-05:00,0.72,0.53,-27.08
2023-11-08 16:00:00-05:00,1.03,1.42,37.58
2023-08-08 16:00:00-04:00,-1.07,-1.22,-13.66
2023-05-17 16:00:00-04:00,-1.25,-3.62,-190.49
2023-02-06 16:00:00-05:00,-0.84,-0.91,-7.76
2022-11-07 16:00:00-05:00,1.38,1.32,-4.91
2022-08-08 16:00:00-04:00,0.87,0.74,-15.44
2022-05-16 16:00:00-04:00,0.62,0.95,53.45
2022-02-07 16:00:00-05:00,1.18,1.32,11.49
2021-11-03 16:00:00-04:00,1.38,1.63,18.58
2021-08-02 16:00:00-04:00,0.9,1.01,13.24
2021-05-18 16:00:00-04:00,0.68,1.43,111.17
2021-02-08 16:00:00-05:00,0.96,1.25,29.59
2020-11-05 16:00:00-05:00,1.52,2.01,32.33
2020-08-03 16:00:00-04:00,1.6,2.3,43.67
