timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-22 16:00:00-04:00,1.92,,
2026-04-22 16:00:00-04:00,1.37,1.68,22.76
2026-01-27 16:00:00-05:00,1.31,1.27,-2.89
2025-10-21 16:00:00-04:00,1.49,1.57,5.81
2025-07-22 16:00:00-04:00,1.33,1.41,5.81
2025-04-23 16:00:00-04:00,1.1,1.28,16.76
2025-01-23 16:00:00-05:00,1.2,1.3,8.29
2024-10-22 16:00:00-04:00,1.41,1.44,2.38
2024-07-23 16:00:00-04:00,1.19,1.17,-1.48
2024-04-23 16:00:00-04:00,1.07,1.2,12.41
2024-01-23 16:00:00-05:00,1.49,1.46,-2.1
2023-10-24 16:00:00-04:00,1.84,1.85,0.33
2023-07-25 16:00:00-04:00,1.77,1.87,5.84
2023-04-25 16:00:00-04:00,1.8,1.85,2.51
2023-01-24 16:00:00-05:00,2.03,2.19,7.92
2022-10-25 16:00:00-04:00,2.42,2.56,5.58
2022-07-26 16:00:00-04:00,2.15,2.52,17.26
2022-04-26 16:00:00-04:00,2.17,2.35,8.08
2022-01-25 16:00:00-05:00,1.96,2.33,18.97
2021-10-26 16:00:00-04:00,2.09,2.12,1.61
2021-07-21 16:00:00-04:00,1.85,2.1,13.62
2021-04-27 16:00:00-04:00,1.61,1.92,19.45
2021-01-26 16:00:00-05:00,1.34,1.86,38.01
2020-10-20 16:00:00-04:00,1.29,1.5,16.41
2020-07-21 16:00:00-04:00,0.92,1.57,71.15
