timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,3.09,,
2026-04-29 16:00:00-04:00,3.01,3.09,2.73
2026-02-11 16:00:00-05:00,2.73,2.64,-3.28
2025-10-29 16:00:00-04:00,2.86,2.97,3.9
2025-07-30 16:00:00-04:00,2.78,2.91,4.78
2025-04-23 16:00:00-04:00,2.56,2.78,8.72
2025-02-12 16:00:00-05:00,2.44,2.43,-0.23
2024-10-23 16:00:00-04:00,2.43,2.52,3.68
2024-07-24 16:00:00-04:00,2.31,2.4,4.07
2024-04-24 16:00:00-04:00,2.0,2.2,10.22
2024-02-14 16:00:00-05:00,1.86,1.89,1.54
2023-11-01 16:00:00-04:00,1.99,2.14,7.59
2023-07-26 16:00:00-04:00,1.89,2.01,6.15
2023-04-26 16:00:00-04:00,1.69,1.76,4.02
2023-02-15 16:00:00-05:00,1.75,1.66,-5.34
2022-10-26 16:00:00-04:00,1.86,2.06,10.91
2022-07-27 16:00:00-04:00,1.82,1.88,3.48
2022-04-27 16:00:00-04:00,1.7,1.9,11.57
2022-02-16 16:00:00-05:00,1.74,1.75,0.48
2021-10-27 16:00:00-04:00,1.77,2.01,13.45
2021-07-28 16:00:00-04:00,1.61,1.83,13.72
2021-04-28 16:00:00-04:00,1.32,1.43,8.04
2021-02-10 06:00:00-05:00,1.42,1.39,-2.06
2020-11-04 16:00:00-05:00,1.33,1.5,12.46
2020-07-29 16:00:00-04:00,1.2,1.38,14.55
