timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,0.13,,
2026-04-29 16:00:00-04:00,0.13,0.48,269.69
2026-02-09 16:00:00-05:00,0.16,0.67,331.65
2025-10-29 16:00:00-04:00,0.13,0.12,-6.35
2025-07-30 16:00:00-04:00,0.13,0.07,-49.38
2025-04-30 16:00:00-04:00,0.11,0.18,67.28
2025-02-05 16:00:00-05:00,0.03,0.03,-8.33
2024-10-30 16:00:00-04:00,0.1,0.08,-15.5
2024-07-30 16:00:00-04:00,0.09,0.1,10.67
2024-04-30 16:00:00-04:00,0.09,0.16,74.78
2024-02-06 16:00:00-05:00,0.11,0.11,-2.28
2023-10-26 16:00:00-04:00,0.1,0.12,24.48
2023-07-26 16:00:00-04:00,0.12,1.05,768.92
2023-04-26 16:00:00-04:00,0.12,0.1,-17.27
2023-02-06 16:00:00-05:00,0.11,0.18,69.67
2022-10-26 16:00:00-04:00,0.08,0.1,28.13
2022-07-26 16:00:00-04:00,0.08,0.06,-23.19
2022-04-26 16:00:00-04:00,0.05,0.05,1.37
2022-02-08 16:00:00-05:00,0.12,0.1,-19.97
2021-10-26 16:00:00-04:00,0.04,-0.04,-198.75
2021-07-28 16:00:00-04:00,0.01,0.03,201.0
2021-04-27 16:00:00-04:00,-0.01,,107.0
2021-02-09 16:00:00-05:00,-0.01,-0.11,-1000.0
2020-10-29 16:00:00-04:00,-0.04,-0.09,-125.0
2020-07-28 16:00:00-04:00,0.01,-0.02,-300.0
