timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-27 16:00:00-04:00,5.98,,
2026-04-27 16:00:00-04:00,5.46,5.62,2.95
2026-02-25 16:00:00-05:00,5.91,5.88,-0.51
2025-10-27 16:00:00-04:00,4.95,5.69,14.91
2025-07-28 16:00:00-04:00,4.96,5.35,7.95
2025-04-28 16:00:00-04:00,4.36,4.84,11.11
2025-02-26 16:00:00-05:00,4.18,4.92,17.84
2024-10-24 16:00:00-04:00,3.7,3.71,0.33
2024-07-24 16:00:00-04:00,3.32,4.31,29.99
2024-04-24 16:00:00-04:00,3.14,3.7,17.87
2024-02-27 16:00:00-05:00,2.91,3.13,7.64
2023-10-25 16:00:00-04:00,2.36,2.55,7.87
2023-07-25 16:00:00-04:00,2.42,2.53,4.34
2023-04-25 16:00:00-04:00,2.19,2.34,7.0
2023-02-27 16:00:00-05:00,2.97,3.02,1.68
2022-10-25 16:00:00-04:00,2.42,2.54,4.95
2022-07-25 16:00:00-04:00,2.09,2.2,5.06
2022-04-25 16:00:00-04:00,2.47,2.15,-13.1
2022-02-24 16:00:00-05:00,2.87,2.95,2.76
2021-10-25 16:00:00-04:00,2.76,2.67,-3.38
2021-07-26 16:00:00-04:00,2.69,3.76,39.85
2021-04-26 16:00:00-04:00,2.24,2.44,8.91
2021-02-25 16:00:00-05:00,2.78,3.59,29.29
2020-10-29 16:00:00-04:00,1.86,2.88,54.9
2020-07-27 16:00:00-04:00,0.65,2.93,353.03
