timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-27 16:00:00-04:00,5.1,,
2026-06-02 16:00:00-04:00,6.89,7.74,12.28
2026-03-12 16:00:00-04:00,8.03,8.01,-0.21
2025-12-04 16:00:00-05:00,4.61,5.14,11.54
2025-08-28 16:00:00-04:00,5.1,5.78,13.23
2025-05-29 16:00:00-04:00,5.8,6.7,15.5
2025-03-13 16:00:00-04:00,7.14,8.46,18.42
2024-12-05 16:00:00-05:00,4.52,5.14,13.63
2024-08-29 16:00:00-04:00,5.47,5.3,-3.05
2024-05-30 16:00:00-04:00,6.28,6.47,3.04
2024-03-14 16:00:00-04:00,7.54,8.08,7.21
2023-11-30 16:00:00-05:00,4.97,5.07,1.92
2023-08-24 16:00:00-04:00,5.85,6.02,2.9
2023-05-25 16:00:00-04:00,6.83,6.88,0.67
2023-03-09 16:00:00-05:00,5.6,6.68,19.23
2022-12-01 16:00:00-05:00,4.15,5.34,28.55
2022-08-25 16:00:00-04:00,4.99,5.7,14.31
2022-05-26 16:00:00-04:00,4.48,6.3,40.66
2022-03-10 16:00:00-05:00,4.54,5.41,19.04
2021-12-02 16:00:00-05:00,2.46,3.94,60.33
2021-08-25 16:00:00-04:00,2.56,4.56,78.13
2021-05-27 16:00:00-04:00,1.97,4.1,108.54
2021-03-11 16:00:00-05:00,2.37,3.41,43.75
2020-12-03 16:00:00-05:00,1.56,1.32,-15.31
2020-08-27 16:00:00-04:00,0.15,0.73,383.92
