timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-23 08:00:00-04:00,3.16,,
2026-04-23 07:00:00-04:00,2.86,2.93,2.42
2026-01-27 07:00:00-05:00,2.87,2.86,-0.35
2025-10-23 07:00:00-04:00,3.0,3.08,2.8
2025-07-24 07:00:00-04:00,2.91,3.03,4.18
2025-04-24 07:00:00-04:00,2.73,2.7,-1.14
2025-01-23 07:00:00-05:00,2.79,2.98,6.78
2024-10-24 07:00:00-04:00,2.78,2.75,-1.11
2024-07-25 07:00:00-04:00,2.71,2.74,1.14
2024-04-25 07:00:00-04:00,2.52,2.69,6.67
2024-01-25 07:00:00-05:00,2.57,2.71,5.44
2023-10-19 07:00:00-04:00,2.43,2.51,3.16
2023-07-26 07:00:00-04:00,2.75,2.57,-6.67
2023-04-20 07:00:00-04:00,2.57,2.53,-1.53
2023-01-24 07:00:00-05:00,2.77,2.67,-3.72
2022-10-20 07:00:00-04:00,3.06,3.05,-0.29
2022-07-21 07:00:00-04:00,2.84,2.93,3.27
2022-04-21 07:00:00-04:00,2.57,2.57,0.16
2022-01-20 08:00:00-05:00,2.61,2.66,1.73
2021-10-21 08:00:00-04:00,2.5,2.57,2.88
2021-07-22 08:00:00-04:00,2.55,2.73,7.17
2021-04-22 08:00:00-04:00,2.05,2.0,-2.59
2021-01-21 08:00:00-05:00,2.24,2.36,5.14
2020-10-22 08:00:00-04:00,2.06,2.01,-2.43
2020-07-23 08:00:00-04:00,1.56,1.67,6.83
