timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-16 08:00:00-04:00,1.27,,
2026-04-16 06:00:00-04:00,1.14,1.18,3.41
2026-01-20 06:00:00-05:00,1.19,1.26,6.03
2025-10-16 06:00:00-04:00,1.12,1.22,9.02
2025-07-17 06:00:00-04:00,1.07,1.11,4.06
2025-04-16 06:00:00-04:00,0.97,1.03,5.69
2025-01-15 19:00:00-05:00,1.05,1.07,1.71
2024-10-16 06:00:00-04:00,0.99,1.03,4.05
2024-07-17 06:00:00-04:00,0.95,0.97,2.33
2024-05-01 16:00:00-04:00,0.88,0.78,-11.61
2024-01-17 06:00:00-05:00,0.91,0.49,-46.0
2023-10-18 06:00:00-04:00,1.01,0.91,-9.68
2023-07-19 07:00:00-04:00,1.1,0.84,-23.51
2023-04-19 06:00:00-04:00,1.12,1.04,-7.17
2023-01-25 06:00:00-05:00,1.14,0.57,-49.82
2022-10-14 06:00:00-04:00,1.16,1.16,0.42
2022-07-15 06:00:00-04:00,1.07,0.99,-7.53
2022-04-14 06:00:00-04:00,0.94,0.99,5.12
2022-01-19 06:00:00-05:00,1.1,1.07,-2.46
2021-10-14 06:00:00-04:00,1.16,1.3,12.41
2021-07-15 06:00:00-04:00,1.13,1.28,12.89
2021-04-15 06:00:00-04:00,0.96,1.45,51.43
2021-01-20 06:00:00-05:00,0.94,0.95,1.52
2020-10-14 06:00:00-04:00,0.91,0.99,9.15
2020-07-15 06:00:00-04:00,0.4,0.41,1.64
