timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 16:00:00-04:00,3.23,,
2026-04-28 16:00:00-04:00,3.1,3.31,6.79
2026-01-29 16:00:00-05:00,3.14,3.17,0.88
2025-10-28 16:00:00-04:00,2.97,2.98,0.28
2025-07-29 16:00:00-04:00,2.85,2.98,4.68
2025-04-29 16:00:00-04:00,2.68,2.76,3.0
2025-01-30 16:00:00-05:00,2.66,2.75,3.34
2024-10-29 16:00:00-04:00,2.58,2.71,5.24
2024-07-23 16:00:00-04:00,2.42,2.42,0.11
2024-04-23 16:00:00-04:00,2.43,2.51,3.16
2024-01-25 16:00:00-05:00,2.34,2.41,3.05
2023-10-24 16:00:00-04:00,2.24,2.33,3.83
2023-07-25 16:00:00-04:00,2.12,2.16,2.03
2023-04-25 16:00:00-04:00,1.99,2.09,5.18
2023-01-26 16:00:00-05:00,2.01,2.18,8.46
2022-10-25 16:00:00-04:00,1.87,1.93,3.47
2022-07-26 16:00:00-04:00,1.75,1.98,13.29
2022-04-26 16:00:00-04:00,1.65,1.79,8.37
2022-01-27 16:00:00-05:00,1.7,1.81,6.34
2021-10-26 16:00:00-04:00,1.54,1.62,5.35
2021-07-27 16:00:00-04:00,1.35,1.49,10.5
2021-04-27 16:00:00-04:00,1.27,1.38,8.64
2021-01-28 16:00:00-05:00,1.28,1.42,11.27
2020-10-28 16:00:00-04:00,1.1,1.12,1.94
2020-07-28 16:00:00-04:00,1.04,1.06,2.31
