timestamp,eps_estimate,eps_reported,surprise_pct
2026-09-02 16:00:00-04:00,2.22,,
2026-06-03 16:00:00-04:00,2.14,2.24,4.91
2026-03-04 16:00:00-05:00,1.94,2.06,6.45
2025-11-20 16:00:00-05:00,1.95,2.04,4.55
2025-08-27 16:00:00-04:00,1.9,1.99,4.75
2025-05-28 16:00:00-04:00,1.74,1.97,12.98
2025-03-05 16:00:00-05:00,1.58,1.74,10.05
2024-12-05 16:00:00-05:00,1.58,1.75,10.7
2024-08-28 16:00:00-04:00,1.53,1.62,5.61
2024-05-30 16:00:00-04:00,1.42,1.5,5.27
2024-02-29 16:00:00-05:00,1.3,1.38,6.22
2023-12-06 16:00:00-05:00,1.29,1.34,3.69
2023-08-30 16:00:00-04:00,1.13,1.21,7.3
2023-05-31 16:00:00-04:00,0.8,0.91,13.55
2023-03-01 16:00:00-05:00,1.04,1.15,10.62
2022-12-01 16:00:00-05:00,1.07,1.13,5.31
2022-08-31 16:00:00-04:00,1.01,1.03,1.95
2022-06-01 16:00:00-04:00,0.92,0.99,7.34
2022-03-02 16:00:00-05:00,0.88,0.9,1.97
2021-12-01 16:00:00-05:00,0.88,0.97,10.62
2021-09-01 16:00:00-04:00,0.86,0.94,9.03
2021-05-27 16:00:00-04:00,0.78,0.91,16.74
2021-03-02 16:00:00-05:00,0.68,0.78,14.51
2020-12-01 16:00:00-05:00,0.68,0.78,14.83
2020-08-27 16:00:00-04:00,0.64,0.72,12.72
